#   time = 49.218750,       r = 80.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.0000000   0.0000000   -1.4660372421e-07   -2.1401895771e-07
   0.0000000   0.5235988   -1.4660372421e-07   -2.1401895771e-07
   0.0000000   1.0471976   -1.4660372421e-07   -2.1401895771e-07
   0.0000000   1.5707963   -1.4660372421e-07   -2.1401895771e-07
   0.0000000   2.0943951   -1.4660372421e-07   -2.1401895771e-07
   0.0000000   2.6179939   -1.4660372421e-07   -2.1401895771e-07
   0.0000000   3.1415927   -1.4660372421e-07   -2.1401895771e-07
   0.0000000   3.6651914   -1.4660372421e-07   -2.1401895771e-07
   0.0000000   4.1887902   -1.4660372421e-07   -2.1401895771e-07
   0.0000000   4.7123890   -1.4660372421e-07   -2.1401895771e-07
   0.0000000   5.2359878   -1.4660372421e-07   -2.1401895771e-07
   0.0000000   5.7595865   -1.4660372421e-07   -2.1401895771e-07
   0.1745329   0.0000000    3.2790647707e-07    1.4511266871e-09
   0.1745329   0.5235988    2.0807271388e-07    3.4640908868e-07
   0.1745329   1.0471976   -2.3106779029e-07    4.0330827829e-07
   0.1745329   1.5707963   -4.8927953707e-07   -6.3211411503e-10
   0.1745329   2.0943951   -2.3157741224e-07   -4.0501460062e-07
   0.1745329   2.6179939    2.0845108412e-07   -3.4578496861e-07
   0.1745329   3.1415927    3.2817934169e-07   -1.1282756587e-09
   0.1745329   3.6651914    1.4178549099e-07    2.3186083200e-07
   0.1745329   4.1887902   -1.1709918658e-07    2.0493496012e-07
   0.1745329   4.7123890   -2.2060389861e-07    3.7553528182e-10
   0.1745329   5.2359878   -1.1681460027e-07   -2.0382167106e-07
   0.1745329   5.7595865    1.4162905683e-07   -2.3211246410e-07
   0.3490659   0.0000000    3.2933943731e-07    1.3752088044e-10
   0.3490659   0.5235988    2.6623876618e-07    4.0894975282e-07
   0.3490659   1.0471976   -2.9795269845e-07    5.8851300859e-07
   0.3490659   1.5707963   -7.3726988350e-07   -8.0826995812e-11
   0.3490659   2.0943951   -2.9819277593e-07   -5.8820056641e-07
   0.3490659   2.6179939    2.6619779862e-07   -4.0892155342e-07
   0.3490659   3.1415927    3.2934115880e-07   -1.3616399262e-10
   0.3490659   3.6651914    1.2160315913e-07    1.8683356944e-07
   0.3490659   4.1887902   -7.5101344254e-08    1.4796812899e-07
   0.3490659   4.7123890   -1.4803870979e-07    1.5140756789e-11
   0.3490659   5.2359878   -7.5041319206e-08   -1.4803685782e-07
   0.3490659   5.7595865    1.2162369860e-07   -1.8684804704e-07
   0.5235988   0.0000000    3.2942108562e-07    3.0388382522e-11
   0.5235988   0.5235988    3.5361394767e-07    4.7124612436e-07
   0.5235988   1.0471976   -3.6288773953e-07    8.7386168443e-07
   0.5235988   1.5707963   -1.1103540064e-06   -1.1955753877e-10
   0.5235988   2.0943951   -3.6272268792e-07   -8.7373048454e-07
   0.5235988   2.6179939    3.5359697353e-07   -4.7122812689e-07
   0.5235988   3.1415927    3.2942123497e-07   -2.9970944694e-11
   0.5235988   3.6651914    1.1120940565e-07    1.4820761744e-07
