#   time = 16.406250,       r = 80.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.0000000   0.0000000   -1.4765455260e-07   -2.1553068700e-07
   0.0000000   0.5235988   -1.4765455260e-07   -2.1553068700e-07
   0.0000000   1.0471976   -1.4765455260e-07   -2.1553068700e-07
   0.0000000   1.5707963   -1.4765455260e-07   -2.1553068700e-07
   0.0000000   2.0943951   -1.4765455260e-07   -2.1553068700e-07
   0.0000000   2.6179939   -1.4765455260e-07   -2.1553068700e-07
   0.0000000   3.1415927   -1.4765455260e-07   -2.1553068700e-07
   0.0000000   3.6651914   -1.4765455260e-07   -2.1553068700e-07
   0.0000000   4.1887902   -1.4765455260e-07   -2.1553068700e-07
   0.0000000   4.7123890   -1.4765455260e-07   -2.1553068700e-07
   0.0000000   5.2359878   -1.4765455260e-07   -2.1553068700e-07
   0.0000000   5.7595865   -1.4765455260e-07   -2.1553068700e-07
   0.1745329   0.0000000    3.3018143505e-07    1.4647285934e-09
   0.1745329   0.5235988    2.0965078534e-07    3.4914775064e-07
   0.1745329   1.0471976   -2.3315591566e-07    4.0683028907e-07
   0.1745329   1.5707963   -4.9374076485e-07   -6.3859564879e-10
   0.1745329   2.0943951   -2.3366924782e-07   -4.0855053111e-07
   0.1745329   2.6179939    2.1003306564e-07   -3.4851923527e-07
   0.1745329   3.1415927    3.3045634420e-07   -1.1392923008e-09
   0.1745329   3.6651914    1.4265709146e-07    2.3334022437e-07
   0.1745329   4.1887902   -1.1785019799e-07    2.0618196847e-07
   0.1745329   4.7123890   -2.2195849051e-07    3.7785752985e-10
   0.1745329   5.2359878   -1.1756341344e-07   -2.0506138677e-07
   0.1745329   5.7595865    1.4249969786e-07   -2.3359370548e-07
   0.3490659   0.0000000    3.3162655080e-07    1.3801250199e-10
   0.3490659   0.5235988    2.6859785573e-07    4.1266940621e-07
   0.3490659   1.0471976   -3.0133481170e-07    5.9491303939e-07
   0.3490659   1.5707963   -7.4850657134e-07   -8.0597109705e-11
   0.3490659   2.0943951   -3.0159556863e-07   -5.9462407653e-07
   0.3490659   2.6179939    2.6855236577e-07   -4.1263595568e-07
   0.3490659   3.1415927    3.3162802956e-07   -1.3653581389e-10
   0.3490659   3.6651914    1.2231134323e-07    1.8797264750e-07
   0.3490659   4.1887902   -7.5406791851e-08    1.4853384790e-07
   0.3490659   4.7123890   -1.4860690068e-07    1.5216236609e-11
   0.3490659   5.2359878   -7.5346422204e-08   -1.4860301702e-07
   0.3490659   5.7595865    1.2233202033e-07   -1.8798726195e-07
   0.5235988   0.0000000    3.3170789724e-07    2.8726118417e-11
   0.5235988   0.5235988    3.5707728546e-07    4.7603228206e-07
   0.5235988   1.0471976   -3.6695872618e-07    8.8024379927e-07
   0.5235988   1.5707963   -1.1536775805e-06   -2.9712998382e-11
   0.5235988   2.0943951   -3.6684107497e-07   -8.8031327318e-07
   0.5235988   2.6179939    3.5706808791e-07   -4.7600748576e-07
   0.5235988   3.1415927    3.3170792237e-07   -2.8736882289e-11
   0.5235988   3.6651914    1.1175817965e-07    1.4896310342e-07
   0.5235988   4.1887902   -4.5193294101e-08    1.0837594500e-07
   0.5235988   4.7123890   -9.7361694701e-08    1.9635411049e-12
   0.5235988   5.2359878   -4.5204845287e-08   -1.0836843410e-07
   0.5235988   5.7595865    1.1176078146e-07   -1.4896998389e-07
   0.6981317   0.0000000    3.3171552007e-07    3.3519086711e-12
   0.6981317   0.5235988    4.7804070087e-07    5.2558973099e-07
   0.6981317   1.0471976   -3.7762147239e-07    1.3173672719e-06
   0.6981317   1.5707963   -1.8250659876e-06   -2.5576151850e-11
   0.6981317   2.0943951   -3.7761142059e-07   -1.3173912063e-06
   0.6981317   2.6179939    4.7804080590e-07   -5.2558538116e-07
   0.6981317   3.1415927    3.3171562650e-07   -3.3446802558e-12
   0.6981317   3.6651914    1.0532287139e-07    1.1581419767e-07
   0.6981317   4.1887902   -2.2645615378e-08    7.8961183206e-08
   0.6981317   4.7123890   -6.1533686613e-08    4.8343398928e-13
   0.6981317   5.2359878   -2.2645870106e-08   -7.8960307477e-08
   0.6981317   5.7595865    1.0532284597e-07   -1.1581490599e-07
   0.8726646   0.0000000    3.3171349068e-07   -5.7678458413e-12
   0.8726646   0.5235988    6.3162603762e-07    5.4357871669e-07
   0.8726646   1.0471976   -2.1021282724e-07    1.9546873342e-06
   0.8726646   1.5707963   -2.9749496540e-06   -4.2623941389e-11
   0.8726646   2.0943951   -2.1024001398e-07   -1.9546930478e-06
   0.8726646   2.6179939    6.3161324509e-07   -5.4356584573e-07
   0.8726646   3.1415927    3.3171304610e-07    5.7657700399e-12
   0.8726646   3.6651914    1.0151865245e-07    8.7387444865e-08
   0.8726646   4.1887902   -6.1072004627e-09    5.6687142602e-08
   0.8726646   4.7123890   -3.6527670519e-08    1.6876932639e-13
   0.8726646   5.2359878   -6.1069402608e-09   -5.6686989133e-08
   0.8726646   5.7595865    1.0151953332e-07   -8.7388862723e-08
   1.0471976   0.0000000    3.3170976473e-07   -8.7776561290e-12
   1.0471976   0.5235988    8.0700154617e-07    5.0815037067e-07
   1.0471976   1.0471976    3.9651915136e-07    2.7442960384e-06
   1.0471976   1.5707963   -4.9422251233e-06   -4.6105213101e-11
   1.0471976   2.0943951    3.9661481668e-07   -2.7442756157e-06
   1.0471976   2.6179939    8.0702687614e-07   -5.0816086561e-07
   1.0471976   3.1415927    3.3171040438e-07    8.7788363684e-12
   1.0471976   3.6651914    9.9334580743e-08    6.2568781433e-08
   1.0471976   4.1887902    5.6464292366e-09    3.9125270819e-08
   1.0471976   4.7123890   -1.9388576681e-08    7.2442618683e-14
   1.0471976   5.2359878    5.6460015574e-09   -3.9125040773e-08
