#   time = 37.500000,       r = 80.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.0000000   0.0000000   -1.4697804788e-07   -2.1455816553e-07
   0.0000000   0.5235988   -1.4697804788e-07   -2.1455816553e-07
   0.0000000   1.0471976   -1.4697804788e-07   -2.1455816553e-07
   0.0000000   1.5707963   -1.4697804788e-07   -2.1455816553e-07
   0.0000000   2.0943951   -1.4697804788e-07   -2.1455816553e-07
   0.0000000   2.6179939   -1.4697804788e-07   -2.1455816553e-07
   0.0000000   3.1415927   -1.4697804788e-07   -2.1455816553e-07
   0.0000000   3.6651914   -1.4697804788e-07   -2.1455816553e-07
   0.0000000   4.1887902   -1.4697804788e-07   -2.1455816553e-07
   0.0000000   4.7123890   -1.4697804788e-07   -2.1455816553e-07
   0.0000000   5.2359878   -1.4697804788e-07   -2.1455816553e-07
   0.0000000   5.7595865   -1.4697804788e-07   -2.1455816553e-07
   0.1745329   0.0000000    3.2872051840e-07    1.4567312499e-09
   0.1745329   0.5235988    2.0863885783e-07    3.4739425069e-07
   0.1745329   1.0471976   -2.3184070259e-07    4.0461938496e-07
   0.1745329   1.5707963   -4.9092272944e-07   -6.3454185995e-10
   0.1745329   2.0943951   -2.3235107194e-07   -4.0632991568e-07
   0.1745329   2.6179939    2.0901897593e-07   -3.4676895848e-07
   0.1745329   3.1415927    3.2899411209e-07   -1.1329417804e-09
   0.1745329   3.6651914    1.4209737987e-07    2.3238802332e-07
   0.1745329   4.1887902   -1.1737938363e-07    2.0539934619e-07
   0.1745329   4.7123890   -2.2111908275e-07    3.7642640643e-10
   0.1745329   5.2359878   -1.1709401742e-07   -2.0428340719e-07
   0.1745329   5.7595865    1.4194063782e-07   -2.3264040497e-07
   0.3490659   0.0000000    3.3016072188e-07    1.3809205132e-10
   0.3490659   0.5235988    2.6712023266e-07    4.1032408538e-07
   0.3490659   1.0471976   -2.9915450429e-07    5.9074791479e-07
   0.3490659   1.5707963   -7.4271735668e-07   -7.9867769380e-11
   0.3490659   2.0943951   -2.9941275444e-07   -5.9046163471e-07
   0.3490659   2.6179939    2.6707481225e-07   -4.1029068079e-07
   0.3490659   3.1415927    3.3016217162e-07   -1.3662605775e-10
   0.3490659   3.6651914    1.2187267914e-07    1.8726647619e-07
   0.3490659   4.1887902   -7.5143291422e-08    1.4804440566e-07
   0.3490659   4.7123890   -1.4811531843e-07    1.5146555478e-11
   0.3490659   5.2359878   -7.5083206984e-08   -1.4811326769e-07
   0.3490659   5.7595865    1.2189327391e-07   -1.8728103974e-07
   0.5235988   0.0000000    3.3024254715e-07    2.9527054161e-11
   0.5235988   0.5235988    3.5481616074e-07    4.7294072348e-07
   0.5235988   1.0471976   -3.6335919903e-07    8.7189351706e-07
   0.5235988   1.5707963   -1.1409377276e-06   -3.0566819828e-11
   0.5235988   2.0943951   -3.6324239408e-07   -8.7195650963e-07
   0.5235988   2.6179939    3.5480843902e-07   -4.7291629767e-07
   0.5235988   3.1415927    3.3024268896e-07   -2.9508994526e-11
   0.5235988   3.6651914    1.1138583390e-07    1.4844459457e-07
   0.5235988   4.1887902   -4.5028200971e-08    1.0800685035e-07
   0.5235988   4.7123890   -9.7224625450e-08    1.9484266245e-12
   0.5235988   5.2359878   -4.5039708621e-08   -1.0799934585e-07
   0.5235988   5.7595865    1.1138838424e-07   -1.4845142769e-07
   0.6981317   0.0000000    3.3025069580e-07    3.9018220152e-12
   0.6981317   0.5235988    4.7455936604e-07    5.2166895716e-07
   0.6981317   1.0471976   -3.7229517793e-07    1.2992572478e-06
   0.6981317   1.5707963   -1.8026698907e-06   -8.8636956181e-11
   0.6981317   2.0943951   -3.7229671220e-07   -1.2992500093e-06
   0.6981317   2.6179939    4.7455579514e-07   -5.2167016158e-07
   0.6981317   3.1415927    3.3025104223e-07   -3.8710652302e-12
   0.6981317   3.6651914    1.0499226461e-07    1.1543547596e-07
   0.6981317   4.1887902   -2.2633667153e-08    7.8937457534e-08
   0.6981317   4.7123890   -6.0529763558e-08    4.7966197982e-13
   0.6981317   5.2359878   -2.2633910345e-08   -7.8936582469e-08
   0.6981317   5.7595865    1.0499226355e-07   -1.1543612168e-07
   0.8726646   0.0000000    3.3024881301e-07   -5.7903227681e-12
   0.8726646   0.5235988    6.2634850061e-07    5.3895404837e-07
   0.8726646   1.0471976   -2.0511466878e-07    1.9233843278e-06
   0.8726646   1.5707963   -3.0565430001e-06   -4.5113080757e-10
   0.8726646   2.0943951   -2.0518615611e-07   -1.9226269714e-06
   0.8726646   2.6179939    6.2633981321e-07   -5.3895074143e-07
   0.8726646   3.1415927    3.3024868403e-07    5.7704525606e-12
   0.8726646   3.6651914    1.0118311591e-07    8.7087548952e-08
   0.8726646   4.1887902   -5.9780943315e-09    5.5587131886e-08
   0.8726646   4.7123890   -3.8246058611e-08    1.7311271496e-13
   0.8726646   5.2359878   -5.9778544710e-09   -5.5586986288e-08
   0.8726646   5.7595865    1.0118396082e-07   -8.7088968677e-08
   1.0471976   0.0000000    3.3024482239e-07   -9.2707244651e-12
   1.0471976   0.5235988    7.9937241976e-07    5.0327617731e-07
   1.0471976   1.0471976    3.8581641075e-07    2.6740699602e-06
   1.0471976   1.5707963   -5.0136512672e-06   -1.0599888843e-09
   1.0471976   2.0943951    3.8660820582e-07   -2.6784277564e-06
   1.0471976   2.6179939    7.9941113113e-07   -5.0328907750e-07
   1.0471976   3.1415927    3.3024564270e-07    9.2209628966e-12
   1.0471976   3.6651914    9.9003977229e-08    6.2353519051e-08
   1.0471976   4.1887902    5.8227249963e-09    4.0324623268e-08
   1.0471976   4.7123890   -1.8596159691e-08    7.0154768825e-14
   1.0471976   5.2359878    5.8222888211e-09   -4.0324393568e-08
   1.0471976   5.7595865    9.9003109898e-08   -6.2352539906e-08
   1.2217305   0.0000000    3.3024118931e-07   -8.6632811632e-12
   1.2217305   0.5235988    9.6781861890e-07    3.9757242606e-07
   1.2217305   1.0471976    1.6258397560e-06    2.9690181791e-06
   1.2217305   1.5707963   -5.3007014758e-06    8.0444190693e-08
   1.2217305   2.0943951    1.6283429347e-06   -2.9561036160e-06
   1.2217305   2.6179939    9.6788243610e-07   -3.9756868888e-07
   1.2217305   3.1415927    3.3024108313e-07    8.6254929295e-12
   1.2217305   3.6651914    9.7882068485e-08    4.0224965802e-08
   1.2217305   4.1887902    1.4357533038e-08    2.6200075550e-08
   1.2217305   4.7123890   -6.7962418072e-09    2.8316005724e-14
   1.2217305   5.2359878    1.4357425916e-08   -2.6200157990e-08
   1.2217305   5.7595865    9.7881259586e-08   -4.0224398170e-08
   1.3962634   0.0000000    3.3023831239e-07   -5.1137791737e-12
   1.3962634   0.5235988    1.0940823796e-06    2.2157434721e-07
   1.3962634   1.0471976    3.5582931694e-06    2.1886338250e-06
   1.3962634   1.5707963   -2.4281021201e-06   -4.8617675599e-08
   1.3962634   2.0943951    3.5950495024e-06   -2.2386888790e-06
   1.3962634   2.6179939    1.0940079810e-06   -2.2153103986e-07
   1.3962634   3.1415927    3.3023927456e-07    5.1018654190e-12
   1.3962634   3.6651914    9.7393665583e-08    1.9727595415e-08
   1.3962634   4.1887902    1.7822989809e-08    1.1784148657e-08
   1.3962634   4.7123890   -1.9531590157e-09    1.3330436559e-14
   1.3962634   5.2359878    1.7822803423e-08   -1.1784092253e-08
   1.3962634   5.7595865    9.7393466201e-08   -1.9727673995e-08
   1.5707963   0.0000000    3.3023759913e-07    5.4316053202e-16
   1.5707963   0.5235988    1.1410598254e-06   -2.3570172349e-12
   1.5707963   1.0471976    5.0186952331e-06   -1.0684768108e-09
   1.5707963   1.5707963   -3.6520152775e-10   -6.7124436647e-09
   1.5707963   2.0943951    5.0308902155e-06    6.5337258203e-10
   1.5707963   2.6179939    1.1408869033e-06    2.4807718741e-12
   1.5707963   3.1415927    3.3023744119e-07    9.2125086092e-17
   1.5707963   3.6651914    9.7252010342e-08   -1.9772842264e-14
   1.5707963   4.1887902    1.8598069261e-08   -9.8974548605e-15
   1.5707963   4.7123890   -1.5340090258e-12   -1.9304521084e-18
   1.5707963   5.2359878    1.8598047610e-08    7.8915878767e-15
   1.5707963   5.7595865    9.7251649843e-08    6.7728838491e-15
   1.7453293   0.0000000    3.3023810764e-07    5.1202549179e-12
   1.7453293   0.5235988    1.0940417272e-06   -2.2156288770e-07
   1.7453293   1.0471976    3.5757601817e-06   -2.1805628587e-06
   1.7453293   1.5707963   -2.1022614785e-06    4.8628058508e-08
   1.7453293   2.0943951    3.6179691070e-06    2.2342316242e-06
   1.7453293   2.6179939    1.0939927066e-06    2.2152170887e-07
   1.7453293   3.1415927    3.3023910081e-07   -5.1018748974e-12
   1.7453293   3.6651914    9.7393579750e-08   -1.9727516225e-08
   1.7453293   4.1887902    1.7822882241e-08   -1.1784107811e-08
   1.7453293   4.7123890   -1.9532725600e-09   -1.3320363612e-14
   1.7453293   5.2359878    1.7822693062e-08    1.1784061359e-08
   1.7453293   5.7595865    9.7393391385e-08    1.9727609359e-08
   1.9198622   0.0000000    3.3024094497e-07    8.6604524423e-12
   1.9198622   0.5235988    9.6782459252e-07   -3.9755409868e-07
   1.9198622   1.0471976    1.6159354914e-06   -2.9606376670e-06
   1.9198622   1.5707963   -5.5746997648e-06   -9.3809542869e-08
   1.9198622   2.0943951    1.6165367346e-06    2.9445062003e-06
   1.9198622   2.6179939    9.6788474889e-07    3.9756416131e-07
   1.9198622   3.1415927    3.3024085438e-07   -8.6265847022e-12
   1.9198622   3.6651914    9.7882073690e-08   -4.0224535143e-08
   1.9198622   4.1887902    1.4357603967e-08   -2.6199837424e-08
   1.9198622   4.7123890   -6.7961708748e-09   -2.8346996603e-14
   1.9198622   5.2359878    1.4357495038e-08    2.6199924342e-08
   1.9198622   5.7595865    9.7881322104e-08    4.0223975504e-08
   2.0943951   0.0000000    3.3024497537e-07    9.2387321325e-12
   2.0943951   0.5235988    7.9938070467e-07   -5.0326502910e-07
   2.0943951   1.0471976    3.8720905776e-07   -2.6798814564e-06
   2.0943951   1.5707963   -5.0258794441e-06    6.5012082474e-10
   2.0943951   2.0943951    3.8800508280e-07    2.6842734944e-06
   2.0943951   2.6179939    7.9940272897e-07    5.0327701945e-07
   2.0943951   3.1415927    3.3024563517e-07   -9.2299308618e-12
   2.0943951   3.6651914    9.9004000215e-08   -6.2353510764e-08
   2.0943951   4.1887902    5.8227615301e-09   -4.0324617699e-08
   2.0943951   4.7123890   -1.8596121063e-08   -6.9662512012e-14
   2.0943951   5.2359878    5.8223222969e-09    4.0324372899e-08
   2.0943951   5.7595865    9.9003107343e-08    6.2352518046e-08
   2.2689280   0.0000000    3.3024915423e-07    5.7602925824e-12
   2.2689280   0.5235988    6.2636112088e-07   -5.3895440445e-07
   2.2689280   1.0471976   -2.0505929582e-07   -1.9220569761e-06
   2.2689280   1.5707963   -3.0354751794e-06    3.3393503041e-10
   2.2689280   2.0943951   -2.0514398758e-07    1.9215751982e-06
   2.2689280   2.6179939    6.2634315454e-07    5.3894450425e-07
   2.2689280   3.1415927    3.3024872516e-07   -5.7655243597e-12
   2.2689280   3.6651914    1.0118319877e-07   -8.7087489233e-08
   2.2689280   4.1887902   -5.9779519875e-09   -5.5587096247e-08
   2.2689280   4.7123890   -3.8245890549e-08   -1.7487930908e-13
   2.2689280   5.2359878   -5.9776965628e-09    5.5586946656e-08
   2.2689280   5.7595865    1.0118407063e-07    8.7088894798e-08
   2.4434610   0.0000000    3.3025056655e-07   -3.8920038679e-12
   2.4434610   0.5235988    4.7455414688e-07   -5.2167142085e-07
   2.4434610   1.0471976   -3.7231523978e-07   -1.2992910544e-06
   2.4434610   1.5707963   -1.8007441933e-06    4.3201511954e-11
   2.4434610   2.0943951   -3.7228719990e-07    1.2992493998e-06
   2.4434610   2.6179939    4.7455545878e-07    5.2166747523e-07
   2.4434610   3.1415927    3.3025061392e-07    3.8787769698e-12
   2.4434610   3.6651914    1.0499218277e-07   -1.1543524541e-07
   2.4434610   4.1887902   -2.2633716591e-08   -7.8937334591e-08
   2.4434610   4.7123890   -6.0529817373e-08   -4.7527783304e-13
   2.4434610   5.2359878   -2.2633969954e-08    7.8936462087e-08
   2.4434610   5.7595865    1.0499216051e-07    1.1543594887e-07
   2.6179939   0.0000000    3.3024336936e-07   -2.9481869569e-11
   2.6179939   0.5235988    3.5481903460e-07   -4.7294487603e-07
   2.6179939   1.0471976   -3.6337332915e-07   -8.7187562779e-07
   2.6179939   1.5707963   -1.1407651147e-06    3.0631002398e-11
   2.6179939   2.0943951   -3.6325996099e-07    8.7194957972e-07
   2.6179939   2.6179939    3.5480964690e-07    4.7292015602e-07
   2.6179939   3.1415927    3.3024334899e-07    2.9500331718e-11
   2.6179939   3.6651914    1.1138585112e-07   -1.4844510851e-07
   2.6179939   4.1887902   -4.5028416702e-08   -1.0800715384e-07
   2.6179939   4.7123890   -9.7224897452e-08   -1.9571617164e-12
   2.6179939   5.2359878   -4.5039904567e-08    1.0799968019e-07
   2.6179939   5.7595865    1.1138843674e-07    1.4845194768e-07
   2.7925268   0.0000000    3.3016061823e-07   -1.3806384500e-10
   2.7925268   0.5235988    2.6711920794e-07   -4.1032264828e-07
   2.7925268   1.0471976   -2.9915396457e-07   -5.9075158873e-07
   2.7925268   1.5707963   -7.4271293376e-07    7.9809018968e-11
   2.7925268   2.0943951   -2.9941239526e-07    5.9046544792e-07
   2.7925268   2.6179939    2.6707408743e-07    4.1028950420e-07
   2.7925268   3.1415927    3.3016208225e-07    1.3659931497e-10
   2.7925268   3.6651914    1.2187265692e-07   -1.8726625846e-07
   2.7925268   4.1887902   -7.5143153012e-08   -1.4804426778e-07
   2.7925268   4.7123890   -1.4811513073e-07   -1.5154404429e-11
