#   time = 42.187500,       r = 80.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.0000000   0.0000000   -1.4682748053e-07   -2.1434173378e-07
   0.0000000   0.5235988   -1.4682748053e-07   -2.1434173378e-07
   0.0000000   1.0471976   -1.4682748053e-07   -2.1434173378e-07
   0.0000000   1.5707963   -1.4682748053e-07   -2.1434173378e-07
   0.0000000   2.0943951   -1.4682748053e-07   -2.1434173378e-07
   0.0000000   2.6179939   -1.4682748053e-07   -2.1434173378e-07
   0.0000000   3.1415927   -1.4682748053e-07   -2.1434173378e-07
   0.0000000   3.6651914   -1.4682748053e-07   -2.1434173378e-07
   0.0000000   4.1887902   -1.4682748053e-07   -2.1434173378e-07
   0.0000000   4.7123890   -1.4682748053e-07   -2.1434173378e-07
   0.0000000   5.2359878   -1.4682748053e-07   -2.1434173378e-07
   0.0000000   5.7595865   -1.4682748053e-07   -2.1434173378e-07
   0.1745329   0.0000000    3.2839448323e-07    1.4550921219e-09
   0.1745329   0.5235988    2.0841215424e-07    3.4700125523e-07
   0.1745329   1.0471976   -2.3154563421e-07    4.0412150425e-07
   0.1745329   1.5707963   -4.9029346423e-07   -6.3361468001e-10
   0.1745329   2.0943951   -2.3205543795e-07   -4.0582994895e-07
   0.1745329   2.6179939    2.0879181836e-07   -3.4637671144e-07
   0.1745329   3.1415927    3.2866783162e-07   -1.1316619412e-09
   0.1745329   3.6651914    1.4197120415e-07    2.3217330278e-07
   0.1745329   4.1887902   -1.1727648328e-07    2.0522752064e-07
   0.1745329   4.7123890   -2.2093918469e-07    3.7611864526e-10
   0.1745329   5.2359878   -1.1699137190e-07   -2.0411257226e-07
   0.1745329   5.7595865    1.4181461560e-07   -2.3242541959e-07
   0.3490659   0.0000000    3.2983307633e-07    1.3808378733e-10
   0.3490659   0.5235988    2.6678527538e-07    4.0979637200e-07
   0.3490659   1.0471976   -2.9864944500e-07    5.8976872870e-07
   0.3490659   1.5707963   -7.4142747833e-07   -7.9164647863e-11
   0.3490659   2.0943951   -2.9890766517e-07   -5.8948573744e-07
   0.3490659   2.6179939    2.6674055541e-07   -4.0976355130e-07
   0.3490659   3.1415927    3.2983456276e-07   -1.3661538270e-10
   0.3490659   3.6651914    1.2177798265e-07    1.8711466617e-07
   0.3490659   4.1887902   -7.5061095084e-08    1.4789246565e-07
   0.3490659   4.7123890   -1.4795603476e-07    1.5159433119e-11
   0.3490659   5.2359878   -7.5001026914e-08   -1.4796128955e-07
   0.3490659   5.7595865    1.2179855655e-07   -1.8712920360e-07
   0.5235988   0.0000000    3.2991488171e-07    2.9482164184e-11
   0.5235988   0.5235988    3.5431908739e-07    4.7225124711e-07
   0.5235988   1.0471976   -3.6259333931e-07    8.7034941636e-07
   0.5235988   1.5707963   -1.1364098714e-06   -2.2585799831e-11
   0.5235988   2.0943951   -3.6246892022e-07   -8.7036228447e-07
   0.5235988   2.6179939    3.5430720872e-07   -4.7222689822e-07
   0.5235988   3.1415927    3.2991478648e-07   -2.9671849241e-11
   0.5235988   3.6651914    1.1129818852e-07    1.4832105893e-07
   0.5235988   4.1887902   -4.5112089009e-08    1.0819674324e-07
   0.5235988   4.7123890   -9.6903195593e-08    1.9558214931e-12
   0.5235988   5.2359878   -4.5123583794e-08   -1.0818927054e-07
   0.5235988   5.7595865    1.1130083397e-07   -1.4832797498e-07
   0.6981317   0.0000000    3.2992317845e-07    3.9606392374e-12
   0.6981317   0.5235988    4.7378072724e-07    5.2079047298e-07
   0.6981317   1.0471976   -3.7162832520e-07    1.3000087125e-06
   0.6981317   1.5707963   -1.7422350796e-06    3.7909162850e-11
   0.6981317   2.0943951   -3.7160971752e-07   -1.2999782850e-06
   0.6981317   2.6179939    4.7377356711e-07   -5.2079536009e-07
   0.6981317   3.1415927    3.2992308505e-07   -4.0252818386e-12
   0.6981317   3.6651914    1.0487753222e-07    1.1530327146e-07
   0.6981317   4.1887902   -2.2281452599e-08    7.7762566381e-08
   0.6981317   4.7123890   -6.1948652563e-08    4.7151128339e-13
   0.6981317   5.2359878   -2.2281699996e-08   -7.7761657406e-08
   0.6981317   5.7595865    1.0487740288e-07   -1.1530391250e-07
   0.8726646   0.0000000    3.2992132993e-07   -5.6917073760e-12
   0.8726646   0.5235988    6.2513039295e-07    5.3788421415e-07
   0.8726646   1.0471976   -2.0734766326e-07    1.8732269141e-06
   0.8726646   1.5707963   -2.4751867788e-06   -1.0284791633e-09
   0.8726646   2.0943951   -2.0709387527e-07   -1.8769713150e-06
   0.8726646   2.6179939    6.2512252576e-07   -5.3789263256e-07
   0.8726646   3.1415927    3.2992069526e-07    5.7819456940e-12
   0.8726646   3.6651914    1.0117918576e-07    8.7084449964e-08
   0.8726646   4.1887902   -6.2719004663e-09    5.8071991120e-08
   0.8726646   4.7123890   -3.6307681124e-08    1.7786220513e-13
   0.8726646   5.2359878   -6.2715909695e-09   -5.8071861345e-08
   0.8726646   5.7595865    1.0118019265e-07   -8.7085932632e-08
   1.0471976   0.0000000    3.2991724605e-07   -9.1222608062e-12
   1.0471976   0.5235988    7.9779637893e-07    5.0230828318e-07
   1.0471976   1.0471976    3.8985699378e-07    2.6497356844e-06
   1.0471976   1.5707963   -4.6579879171e-06   -2.2331831527e-08
   1.0471976   2.0943951    3.8752785572e-07   -2.6346411574e-06
   1.0471976   2.6179939    7.9782965669e-07   -5.0233653050e-07
   1.0471976   3.1415927    3.2991759307e-07    9.3789752330e-12
   1.0471976   3.6651914    9.9180112630e-08    6.2468057432e-08
   1.0471976   4.1887902    5.7833684963e-09    4.0043954691e-08
   1.0471976   4.7123890   -1.7292958064e-08    6.3930691331e-14
   1.0471976   5.2359878    5.7829349727e-09   -4.0043697908e-08
   1.0471976   5.7595865    9.9178933100e-08   -6.2467141547e-08
   1.2217305   0.0000000    3.2991363139e-07   -8.7196043755e-12
   1.2217305   0.5235988    9.6534345383e-07    3.9648551086e-07
   1.2217305   1.0471976    1.7933241337e-06    3.1658995469e-06
   1.2217305   1.5707963   -3.5453152785e-06   -8.4796487582e-08
   1.2217305   2.0943951    1.7898338029e-06   -3.2048658184e-06
   1.2217305   2.6179939    9.6529429359e-07   -3.9639856021e-07
   1.2217305   3.1415927    3.2991311050e-07    8.7590230338e-12
   1.2217305   3.6651914    9.7964187766e-08    4.0255461806e-08
   1.2217305   4.1887902    1.2056039813e-08    2.2005542676e-08
   1.2217305   4.7123890   -9.2226111751e-09    3.6595915092e-14
   1.2217305   5.2359878    1.2055857500e-08   -2.2005442631e-08
   1.2217305   5.7595865    9.7963655523e-08   -4.0254842372e-08
   1.3962634   0.0000000    3.2991111779e-07   -5.1719365997e-12
   1.3962634   0.5235988    1.0891854682e-06    2.2013820017e-07
   1.3962634   1.0471976    3.9629524326e-06    2.7663991081e-06
   1.3962634   1.5707963   -2.1231189705e-06    7.5292048687e-08
   1.3962634   2.0943951    3.9053772947e-06   -2.6864342873e-06
