#   time = 50.390625,       r = 80.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.0000000   0.0000000   -1.4657188097e-07   -2.1397054838e-07
   0.0000000   0.5235988   -1.4657188097e-07   -2.1397054838e-07
   0.0000000   1.0471976   -1.4657188097e-07   -2.1397054838e-07
   0.0000000   1.5707963   -1.4657188097e-07   -2.1397054838e-07
   0.0000000   2.0943951   -1.4657188097e-07   -2.1397054838e-07
   0.0000000   2.6179939   -1.4657188097e-07   -2.1397054838e-07
   0.0000000   3.1415927   -1.4657188097e-07   -2.1397054838e-07
   0.0000000   3.6651914   -1.4657188097e-07   -2.1397054838e-07
   0.0000000   4.1887902   -1.4657188097e-07   -2.1397054838e-07
   0.0000000   4.7123890   -1.4657188097e-07   -2.1397054838e-07
   0.0000000   5.2359878   -1.4657188097e-07   -2.1397054838e-07
   0.0000000   5.7595865   -1.4657188097e-07   -2.1397054838e-07
   0.1745329   0.0000000    3.2783515425e-07    1.4506197817e-09
   0.1745329   0.5235988    2.0799944307e-07    3.4628237164e-07
   0.1745329   1.0471976   -2.3101731326e-07    4.0321042553e-07
   0.1745329   1.5707963   -4.8925650039e-07   -6.3215531760e-10
   0.1745329   2.0943951   -2.3152729231e-07   -4.0491695846e-07
   0.1745329   2.6179939    2.0837816287e-07   -3.4565944447e-07
   0.1745329   3.1415927    3.2810748067e-07   -1.1278707089e-09
   0.1745329   3.6651914    1.4175089574e-07    2.3179862040e-07
   0.1745329   4.1887902   -1.1706310990e-07    2.0487482115e-07
   0.1745329   4.7123890   -2.2055294299e-07    3.7544542446e-10
   0.1745329   5.2359878   -1.1677854367e-07   -2.0376177896e-07
   0.1745329   5.7595865    1.4159452082e-07   -2.3205016520e-07
   0.3490659   0.0000000    3.2926555190e-07    1.3681107765e-10
   0.3490659   0.5235988    2.6617256210e-07    4.0883524773e-07
   0.3490659   1.0471976   -2.9749207110e-07    5.8734371618e-07
   0.3490659   1.5707963   -7.3726856582e-07   -7.7425411294e-11
   0.3490659   2.0943951   -2.9774038664e-07   -5.8706112256e-07
   0.3490659   2.6179939    2.6613216987e-07   -4.0880897384e-07
   0.3490659   3.1415927    3.2926709926e-07   -1.3541762173e-10
   0.3490659   3.6651914    1.2157375807e-07    1.8678896903e-07
   0.3490659   4.1887902   -7.5091538312e-08    1.4796094925e-07
   0.3490659   4.7123890   -1.4779281461e-07    1.5159611964e-11
   0.3490659   5.2359878   -7.5031460873e-08   -1.4802972088e-07
   0.3490659   5.7595865    1.2159430257e-07   -1.8680344454e-07
   0.5235988   0.0000000    3.2934335209e-07    3.0309511687e-11
   0.5235988   0.5235988    3.5362131008e-07    4.7119009617e-07
   0.5235988   1.0471976   -3.6300782141e-07    8.7605507554e-07
   0.5235988   1.5707963   -1.0949139148e-06   -9.9246308860e-11
   0.5235988   2.0943951   -3.6278289554e-07   -8.7562268000e-07
   0.5235988   2.6179939    3.5359053144e-07   -4.7115963396e-07
   0.5235988   3.1415927    3.2934354476e-07   -2.9633313688e-11
   0.5235988   3.6651914    1.1124077923e-07    1.4825396894e-07
   0.5235988   4.1887902   -4.4549135609e-08    1.0688489876e-07
   0.5235988   4.7123890   -9.8149984106e-08    1.8975096729e-12
   0.5235988   5.2359878   -4.4560421876e-08   -1.0687770064e-07
   0.5235988   5.7595865    1.1124321399e-07   -1.4826073034e-07
   0.6981317   0.0000000    3.2935081876e-07    4.4328302496e-12
   0.6981317   0.5235988    4.7236978712e-07    5.1921139274e-07
   0.6981317   1.0471976   -3.7330298504e-07    1.2916135722e-06
   0.6981317   1.5707963   -1.5760592406e-06   -1.5333326050e-09
   0.6981317   2.0943951   -3.7342747432e-07   -1.2945386994e-06
   0.6981317   2.6179939    4.7232419645e-07   -5.1918955244e-07
   0.6981317   3.1415927    3.2935118283e-07   -3.9591652722e-12
   0.6981317   3.6651914    1.0488783426e-07    1.1531311271e-07
   0.6981317   4.1887902   -2.3341657845e-08    8.1381225628e-08
   0.6981317   4.7123890   -5.8757505207e-08    4.6670023494e-13
   0.6981317   5.2359878   -2.3341482276e-08   -8.1380056825e-08
   0.6981317   5.7595865    1.0488767443e-07   -1.1531391382e-07
   0.8726646   0.0000000    3.2934906203e-07   -6.4552570761e-12
   0.8726646   0.5235988    6.2212441144e-07    5.3520427669e-07
   0.8726646   1.0471976   -1.9716290989e-07    1.6233586594e-06
   0.8726646   1.5707963   -2.9963807189e-06   -6.3602084701e-09
