#    time = 8.203125,       r = 80.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.0000000   0.0000000   -1.4791578887e-07   -2.1590538367e-07
   0.0000000   0.5235988   -1.4791578887e-07   -2.1590538367e-07
   0.0000000   1.0471976   -1.4791578887e-07   -2.1590538367e-07
   0.0000000   1.5707963   -1.4791578887e-07   -2.1590538367e-07
   0.0000000   2.0943951   -1.4791578887e-07   -2.1590538367e-07
   0.0000000   2.6179939   -1.4791578887e-07   -2.1590538367e-07
   0.0000000   3.1415927   -1.4791578887e-07   -2.1590538367e-07
   0.0000000   3.6651914   -1.4791578887e-07   -2.1590538367e-07
   0.0000000   4.1887902   -1.4791578887e-07   -2.1590538367e-07
   0.0000000   4.7123890   -1.4791578887e-07   -2.1590538367e-07
   0.0000000   5.2359878   -1.4791578887e-07   -2.1590538367e-07
   0.0000000   5.7595865   -1.4791578887e-07   -2.1590538367e-07
   0.1745329   0.0000000    3.3074403496e-07    1.4678662819e-09
   0.1745329   0.5235988    2.1003986582e-07    3.4982340983e-07
   0.1745329   1.0471976   -2.3366348736e-07    4.0768197318e-07
   0.1745329   1.5707963   -4.9482686576e-07   -6.4015841279e-10
   0.1745329   2.0943951   -2.3417795493e-07   -4.0940595000e-07
   0.1745329   2.6179939    2.1042297701e-07   -3.4919365417e-07
   0.1745329   3.1415927    3.3101944143e-07   -1.1417971677e-09
   0.1745329   3.6651914    1.4287265479e-07    2.3370752667e-07
   0.1745329   4.1887902   -1.1803193021e-07    2.0648362650e-07
   0.1745329   4.7123890   -2.2228216681e-07    3.7841066850e-10
   0.1745329   5.2359878   -1.1774460797e-07   -2.0536125987e-07
   0.1745329   5.7595865    1.4271501042e-07   -2.3396143772e-07
   0.3490659   0.0000000    3.3219115347e-07    1.3808366095e-10
   0.3490659   0.5235988    2.6916607587e-07    4.1357287814e-07
   0.3490659   1.0471976   -3.0217538529e-07    5.9651456935e-07
   0.3490659   1.5707963   -7.5073619430e-07   -8.0911831307e-11
   0.3490659   2.0943951   -3.0243709996e-07   -5.9622456126e-07
   0.3490659   2.6179939    2.6912045020e-07   -4.1353931550e-07
   0.3490659   3.1415927    3.3219263220e-07   -1.3660317092e-10
   0.3490659   3.6651914    1.2248015107e-07    1.8824474842e-07
   0.3490659   4.1887902   -7.5510186742e-08    1.4872565379e-07
   0.3490659   4.7123890   -1.4879687356e-07    1.5240163863e-11
   0.3490659   5.2359878   -7.5449716504e-08   -1.4879493828e-07
   0.3490659   5.7595865    1.2250086697e-07   -1.8825939453e-07
   0.5235988   0.0000000    3.3227234746e-07    2.8510717432e-11
   0.5235988   0.5235988    3.5794519425e-07    4.7722219061e-07
   0.5235988   1.0471976   -3.6834134202e-07    8.8344433913e-07
   0.5235988   1.5707963   -1.1587131171e-06   -2.9941516560e-11
   0.5235988   2.0943951   -3.6822285978e-07   -8.8351418050e-07
   0.5235988   2.6179939    3.5793593843e-07   -4.7719724853e-07
   0.5235988   3.1415927    3.3227237591e-07   -2.8521935431e-11
   0.5235988   3.6651914    1.1190253003e-07    1.4916451222e-07
   0.5235988   4.1887902   -4.5250582819e-08    1.0850344078e-07
   0.5235988   4.7123890   -9.7474596197e-08    1.9670068154e-12
   0.5235988   5.2359878   -4.5262156764e-08   -1.0849591654e-07
   0.5235988   5.7595865    1.1190513663e-07   -1.4917141002e-07
   0.6981317   0.0000000    3.3227977898e-07    3.1861636116e-12
   0.6981317   0.5235988    4.7937865534e-07    5.2709532317e-07
   0.6981317   1.0471976   -3.7964862403e-07    1.3241474471e-06
   0.6981317   1.5707963   -1.8377612131e-06   -2.5966318465e-11
   0.6981317   2.0943951   -3.7963839812e-07   -1.3241705854e-06
   0.6981317   2.6179939    4.7937881262e-07   -5.2709097442e-07
   0.6981317   3.1415927    3.3227988231e-07   -3.1787112502e-12
   0.6981317   3.6651914    1.0545202204e-07    1.1596234412e-07
   0.6981317   4.1887902   -2.2673279884e-08    7.9047810107e-08
   0.6981317   4.7123890   -6.1600821121e-08    4.8440096977e-13
   0.6981317   5.2359878   -2.2673535261e-08   -7.9046932593e-08
   0.6981317   5.7595865    1.0545199824e-07   -1.1596305417e-07
   0.8726646   0.0000000    3.3227769909e-07   -5.7771286847e-12
   0.8726646   0.5235988    6.3365203090e-07    5.4535704360e-07
   0.8726646   1.0471976   -2.1196029395e-07    1.9693836424e-06
   0.8726646   1.5707963   -3.0111865469e-06   -4.4061898005e-11
   0.8726646   2.0943951   -2.1199052206e-07   -1.9694005351e-06
   0.8726646   2.6179939    6.3363884843e-07   -5.4534395139e-07
   0.8726646   3.1415927    3.3227723624e-07    5.7748683165e-12
   0.8726646   3.6651914    1.0163832086e-07    8.7494493490e-08
   0.8726646   4.1887902   -6.1154346613e-09    5.6745810474e-08
   0.8726646   4.7123890   -3.6566641000e-08    1.6914308435e-13
   0.8726646   5.2359878   -6.1151738562e-09   -5.6745656471e-08
   0.8726646   5.7595865    1.0163920590e-07   -8.7495915047e-08
   1.0471976   0.0000000    3.3227407702e-07   -8.6557296671e-12
   1.0471976   0.5235988    8.0992590268e-07    5.1002514319e-07
