#   time = 24.609375,       r = 80.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.0000000   0.0000000   -1.4739219043e-07   -2.1515397832e-07
   0.0000000   0.5235988   -1.4739219043e-07   -2.1515397832e-07
   0.0000000   1.0471976   -1.4739219043e-07   -2.1515397832e-07
   0.0000000   1.5707963   -1.4739219043e-07   -2.1515397832e-07
   0.0000000   2.0943951   -1.4739219043e-07   -2.1515397832e-07
   0.0000000   2.6179939   -1.4739219043e-07   -2.1515397832e-07
   0.0000000   3.1415927   -1.4739219043e-07   -2.1515397832e-07
   0.0000000   3.6651914   -1.4739219043e-07   -2.1515397832e-07
   0.0000000   4.1887902   -1.4739219043e-07   -2.1515397832e-07
   0.0000000   4.7123890   -1.4739219043e-07   -2.1515397832e-07
   0.0000000   5.2359878   -1.4739219043e-07   -2.1515397832e-07
   0.0000000   5.7595865   -1.4739219043e-07   -2.1515397832e-07
   0.1745329   0.0000000    3.2961567733e-07    1.4616246839e-09
   0.1745329   0.5235988    2.0925914118e-07    3.4846835200e-07
   0.1745329   1.0471976   -2.3264580935e-07    4.0597351151e-07
   0.1745329   1.5707963   -4.9264853894e-07   -6.3702182148e-10
   0.1745329   2.0943951   -2.3315799864e-07   -4.0768999601e-07
   0.1745329   2.6179939    2.0964058380e-07   -3.4784107648e-07
   0.1745329   3.1415927    3.2989007812e-07   -1.1368251674e-09
   0.1745329   3.6651914    1.4244031516e-07    2.3297110380e-07
   0.1745329   4.1887902   -1.1766774019e-07    2.0587889083e-07
   0.1745329   4.7123890   -2.2163343456e-07    3.7730125060e-10
   0.1745329   5.2359878   -1.1738149714e-07   -2.0476010240e-07
   0.1745329   5.7595865    1.4228317468e-07   -2.3322415980e-07
   0.3490659   0.0000000    3.3105882708e-07    1.3801618331e-10
   0.3490659   0.5235988    2.6802576242e-07    4.1176075762e-07
   0.3490659   1.0471976   -3.0048946268e-07    5.9330037466e-07
   0.3490659   1.5707963   -7.4626199519e-07   -8.0279242517e-11
   0.3490659   2.0943951   -3.0074923890e-07   -5.9301245701e-07
   0.3490659   2.6179939    2.6798038969e-07   -4.1172741195e-07
   0.3490659   3.1415927    3.3106029486e-07   -1.3654440395e-10
   0.3490659   3.6651914    1.2214166515e-07    1.8769928811e-07
   0.3490659   4.1887902   -7.5303058405e-08    1.4834127743e-07
   0.3490659   4.7123890   -1.4841636414e-07    1.5191834102e-11
   0.3490659   5.2359878   -7.5242795019e-08   -1.4841032963e-07
   0.3490659   5.7595865    1.2216231211e-07   -1.8771387739e-07
   0.5235988   0.0000000    3.3114036272e-07    2.9004007099e-11
   0.5235988   0.5235988    3.5620320078e-07    4.7483516650e-07
   0.5235988   1.0471976   -3.6556802556e-07    8.7701885082e-07
   0.5235988   1.5707963   -1.1485940288e-06   -2.9473014476e-11
   0.5235988   2.0943951   -3.6545106824e-07   -8.7708780348e-07
   0.5235988   2.6179939    3.5619412096e-07   -4.7481055700e-07
   0.5235988   3.1415927    3.3114038301e-07   -2.9020312046e-11
   0.5235988   3.6651914    1.1161313479e-07    1.4876081427e-07
   0.5235988   4.1887902   -4.5135419626e-08    1.0824709499e-07
   0.5235988   4.7123890   -9.7248869649e-08    1.9603786145e-12
   0.5235988   5.2359878   -4.5146951157e-08   -1.0823959343e-07
   0.5235988   5.7595865    1.1161572639e-07   -1.4876768895e-07
   0.6981317   0.0000000    3.3114821312e-07    3.5595582917e-12
   0.6981317   0.5235988    4.7669311037e-07    5.2407490089e-07
   0.6981317   1.0471976   -3.7557819526e-07    1.3105766934e-06
   0.6981317   1.5707963   -1.8122093534e-06   -2.4531849757e-11
   0.6981317   2.0943951   -3.7556644145e-07   -1.3105832755e-06
   0.6981317   2.6179939    4.7669315847e-07   -5.2407021868e-07
   0.6981317   3.1415927    3.3114831517e-07   -3.5453839917e-12
   0.6981317   3.6651914    1.0519321912e-07    1.1566554647e-07
   0.6981317   4.1887902   -2.2620337394e-08    7.8882187239e-08
   0.6981317   4.7123890   -6.1440708592e-08    4.8225804535e-13
   0.6981317   5.2359878   -2.2620590531e-08   -7.8881313769e-08
   0.6981317   5.7595865    1.0519320022e-07   -1.1566624261e-07
   0.8726646   0.0000000    3.3114623919e-07   -5.7750278829e-12
   0.8726646   0.5235988    6.2958577036e-07    5.4178891595e-07
   0.8726646   1.0471976   -2.0847800380e-07    1.9398235337e-06
   0.8726646   1.5707963   -2.9347263837e-06   -2.4907931008e-11
   0.8726646   2.0943951   -2.0850752017e-07   -1.9398402112e-06
   0.8726646   2.6179939    6.2957287940e-07   -5.4177571489e-07
   0.8726646   3.1415927    3.3114580477e-07    5.7655847018e-12
   0.8726646   3.6651914    1.0139849221e-07    8.7280014216e-08
   0.8726646   4.1887902   -6.0932545272e-09    5.6583262965e-08
   0.8726646   4.7123890   -3.6654666864e-08    1.6900742402e-13
   0.8726646   5.2359878   -6.0929953285e-09   -5.6583110218e-08
   0.8726646   5.7595865    1.0139936332e-07   -8.7281425121e-08
   1.0471976   0.0000000    3.3114238293e-07   -8.9397170475e-12
   1.0471976   0.5235988    8.0405330183e-07    5.0626368646e-07
   1.0471976   1.0471976    3.9239663818e-07    2.7136899731e-06
   1.0471976   1.5707963   -4.7324147919e-06    6.0908543589e-10
   1.0471976   2.0943951    3.9247948682e-07   -2.7136195728e-06
   1.0471976   2.6179939    8.0408016253e-07   -5.0627294701e-07
   1.0471976   3.1415927    3.3114300430e-07    8.9465938447e-12
   1.0471976   3.6651914    9.9219538814e-08    6.2493763643e-08
   1.0471976   4.1887902    5.6552743835e-09    3.9177542283e-08
   1.0471976   4.7123890   -1.9049014579e-08    7.1267825182e-14
   1.0471976   5.2359878    5.6548473550e-09   -3.9177312036e-08
   1.0471976   5.7595865    9.9218622466e-08   -6.2492774730e-08
