#   time = 41.015625,       r = 80.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.0000000   0.0000000   -1.4686502922e-07   -2.1439571303e-07
   0.0000000   0.5235988   -1.4686502922e-07   -2.1439571303e-07
   0.0000000   1.0471976   -1.4686502922e-07   -2.1439571303e-07
   0.0000000   1.5707963   -1.4686502922e-07   -2.1439571303e-07
   0.0000000   2.0943951   -1.4686502922e-07   -2.1439571303e-07
   0.0000000   2.6179939   -1.4686502922e-07   -2.1439571303e-07
   0.0000000   3.1415927   -1.4686502922e-07   -2.1439571303e-07
   0.0000000   3.6651914   -1.4686502922e-07   -2.1439571303e-07
   0.0000000   4.1887902   -1.4686502922e-07   -2.1439571303e-07
   0.0000000   4.7123890   -1.4686502922e-07   -2.1439571303e-07
   0.0000000   5.2359878   -1.4686502922e-07   -2.1439571303e-07
   0.0000000   5.7595865   -1.4686502922e-07   -2.1439571303e-07
   0.1745329   0.0000000    3.2847584897e-07    1.4554630511e-09
   0.1745329   0.5235988    2.0846942462e-07    3.4710047520e-07
   0.1745329   1.0471976   -2.3161832686e-07    4.0424468187e-07
   0.1745329   1.5707963   -4.9044628328e-07   -6.3384138821e-10
   0.1745329   2.0943951   -2.3212829765e-07   -4.0595368540e-07
   0.1745329   2.6179939    2.0884919327e-07   -3.4647573828e-07
   0.1745329   3.1415927    3.2874926251e-07   -1.1319442247e-09
   0.1745329   3.6651914    1.4200271185e-07    2.3222690758e-07
   0.1745329   4.1887902   -1.1730120189e-07    2.0526898336e-07
   0.1745329   4.7123890   -2.2098263069e-07    3.7620013982e-10
   0.1745329   5.2359878   -1.1701602012e-07   -2.0415378266e-07
   0.1745329   5.7595865    1.4184609478e-07   -2.3247908864e-07
   0.3490659   0.0000000    3.2991497545e-07    1.3811334679e-10
   0.3490659   0.5235988    2.6686869824e-07    4.0992770998e-07
   0.3490659   1.0471976   -2.9878561256e-07    5.9004162442e-07
   0.3490659   1.5707963   -7.4166448529e-07   -7.9574181616e-11
   0.3490659   2.0943951   -2.9904309084e-07   -5.8975582944e-07
   0.3490659   2.6179939    2.6682362436e-07   -4.0989461206e-07
   0.3490659   3.1415927    3.2991649596e-07   -1.3663014271e-10
   0.3490659   3.6651914    1.2180070903e-07    1.8715122457e-07
   0.3490659   4.1887902   -7.5084664392e-08    1.4793706234e-07
   0.3490659   4.7123890   -1.4798072279e-07    1.5161649219e-11
   0.3490659   5.2359878   -7.5024582254e-08   -1.4800590384e-07
   0.3490659   5.7595865    1.2182130011e-07   -1.8716577306e-07
   0.5235988   0.0000000    3.2999694502e-07    2.9491788959e-11
   0.5235988   0.5235988    3.5443990014e-07    4.7242161623e-07
   0.5235988   1.0471976   -3.6282344002e-07    8.7088014266e-07
   0.5235988   1.5707963   -1.1364419302e-06   -3.0205497525e-11
   0.5235988   2.0943951   -3.6269999939e-07   -8.7090847220e-07
   0.5235988   2.6179939    3.5442999023e-07   -4.7239748343e-07
   0.5235988   3.1415927    3.2999689756e-07   -2.9624456701e-11
   0.5235988   3.6651914    1.1132457997e-07    1.4835882144e-07
   0.5235988   4.1887902   -4.5090595883e-08    1.0814522567e-07
   0.5235988   4.7123890   -9.7168362466e-08    1.9503322841e-12
   0.5235988   5.2359878   -4.5102094691e-08   -1.0813775443e-07
   0.5235988   5.7595865    1.1132721160e-07   -1.4836574021e-07
   0.6981317   0.0000000    3.3000513635e-07    3.9424983814e-12
   0.6981317   0.5235988    4.7398132279e-07    5.2101474243e-07
   0.6981317   1.0471976   -3.7165473826e-07    1.2970361966e-06
   0.6981317   1.5707963   -1.7485003924e-06   -1.3533663568e-10
   0.6981317   2.0943951   -3.7165615811e-07   -1.2972701570e-06
   0.6981317   2.6179939    4.7397486508e-07   -5.2101882083e-07
   0.6981317   3.1415927    3.3000523954e-07   -3.9665435122e-12
   0.6981317   3.6651914    1.0490427959e-07    1.1533385850e-07
   0.6981317   4.1887902   -2.2372597786e-08    7.8074494587e-08
   0.6981317   4.7123890   -6.1083447540e-08    4.7250990714e-13
   0.6981317   5.2359878   -2.2372822457e-08   -7.8073567631e-08
   0.6981317   5.7595865    1.0490414264e-07   -1.1533445097e-07
   0.8726646   0.0000000    3.3000327901e-07   -5.7297867053e-12
   0.8726646   0.5235988    6.2544154557e-07    5.3815724459e-07
   0.8726646   1.0471976   -2.0597113227e-07    1.8833303800e-06
