#   time = 43.359375,       r = 80.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.0000000   0.0000000   -1.4678972420e-07   -2.1428725053e-07
   0.0000000   0.5235988   -1.4678972420e-07   -2.1428725053e-07
   0.0000000   1.0471976   -1.4678972420e-07   -2.1428725053e-07
   0.0000000   1.5707963   -1.4678972420e-07   -2.1428725053e-07
   0.0000000   2.0943951   -1.4678972420e-07   -2.1428725053e-07
   0.0000000   2.6179939   -1.4678972420e-07   -2.1428725053e-07
   0.0000000   3.1415927   -1.4678972420e-07   -2.1428725053e-07
   0.0000000   3.6651914   -1.4678972420e-07   -2.1428725053e-07
   0.0000000   4.1887902   -1.4678972420e-07   -2.1428725053e-07
   0.0000000   4.7123890   -1.4678972420e-07   -2.1428725053e-07
   0.0000000   5.2359878   -1.4678972420e-07   -2.1428725053e-07
   0.0000000   5.7595865   -1.4678972420e-07   -2.1428725053e-07
   0.1745329   0.0000000    3.2831269167e-07    1.4547264674e-09
   0.1745329   0.5235988    2.0835449050e-07    3.4690190370e-07
   0.1745329   1.0471976   -2.3147497181e-07    4.0400206028e-07
   0.1745329   1.5707963   -4.9014354582e-07   -6.3340015515e-10
   0.1745329   2.0943951   -2.3198452258e-07   -4.0570982581e-07
   0.1745329   2.6179939    2.0873406146e-07   -3.4627757245e-07
   0.1745329   3.1415927    3.2858597047e-07   -1.1313831862e-09
   0.1745329   3.6651914    1.4194009217e-07    2.3212060427e-07
   0.1745329   4.1887902   -1.1725227157e-07    2.0518688294e-07
   0.1745329   4.7123890   -2.2089494022e-07    3.7603419769e-10
   0.1745329   5.2359878   -1.1696724636e-07   -2.0407219769e-07
   0.1745329   5.7595865    1.4178352534e-07   -2.3237265518e-07
   0.3490659   0.0000000    3.2975101497e-07    1.3803002415e-10
   0.3490659   0.5235988    2.6670453034e-07    4.0966810835e-07
   0.3490659   1.0471976   -2.9851647691e-07    5.8950551930e-07
   0.3490659   1.5707963   -7.4131529136e-07   -7.8860095114e-11
   0.3490659   2.0943951   -2.9877632245e-07   -5.8922609221e-07
   0.3490659   2.6179939    2.6666002451e-07   -4.0963532352e-07
   0.3490659   3.1415927    3.2975241351e-07   -1.3659648688e-10
   0.3490659   3.6651914    1.2175516584e-07    1.8707767500e-07
   0.3490659   4.1887902   -7.5041315503e-08    1.4785354861e-07
   0.3490659   4.7123890   -1.4796372540e-07    1.5149413138e-11
   0.3490659   5.2359878   -7.4981272762e-08   -1.4792234563e-07
   0.3490659   5.7595865    1.2177571937e-07   -1.8709219602e-07
   0.5235988   0.0000000    3.2983261189e-07    2.9492461417e-11
   0.5235988   0.5235988    3.5419742288e-07    4.7207962345e-07
   0.5235988   1.0471976   -3.6226817501e-07    8.6932995782e-07
   0.5235988   1.5707963   -1.1386932554e-06   -1.5088225000e-11
   0.5235988   2.0943951   -3.6215066609e-07   -8.6935706716e-07
   0.5235988   2.6179939    3.5418305439e-07   -4.7205499847e-07
   0.5235988   3.1415927    3.2983249682e-07   -2.9719853630e-11
   0.5235988   3.6651914    1.1126772916e-07    1.4827751744e-07
   0.5235988   4.1887902   -4.5103724411e-08    1.0818352211e-07
   0.5235988   4.7123890   -9.6526514409e-08    1.9595740765e-12
   0.5235988   5.2359878   -4.5115216034e-08   -1.0817604121e-07
   0.5235988   5.7595865    1.1127037080e-07   -1.4828440502e-07
   0.6981317   0.0000000    3.2984098985e-07    3.9978662309e-12
   0.6981317   0.5235988    4.7356734853e-07    5.2055534327e-07
   0.6981317   1.0471976   -3.7139661865e-07    1.3028000266e-06
   0.6981317   1.5707963   -1.7677546479e-06    2.7471737397e-10
   0.6981317   2.0943951   -3.7135035089e-07   -1.3022609726e-06
   0.6981317   2.6179939    4.7356125173e-07   -5.2056228792e-07
   0.6981317   3.1415927    3.2984075253e-07   -4.0963664772e-12
   0.6981317   3.6651914    1.0486553550e-07    1.1529009292e-07
   0.6981317   4.1887902   -2.2255803399e-08    7.7662957140e-08
   0.6981317   4.7123890   -6.2928867102e-08    4.7520904112e-13
   0.6981317   5.2359878   -2.2256098687e-08   -7.7662095804e-08
