#   time = 21.093750,       r = 80.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.0000000   0.0000000   -1.4750475469e-07   -2.1531565731e-07
   0.0000000   0.5235988   -1.4750475469e-07   -2.1531565731e-07
   0.0000000   1.0471976   -1.4750475469e-07   -2.1531565731e-07
   0.0000000   1.5707963   -1.4750475469e-07   -2.1531565731e-07
   0.0000000   2.0943951   -1.4750475469e-07   -2.1531565731e-07
   0.0000000   2.6179939   -1.4750475469e-07   -2.1531565731e-07
   0.0000000   3.1415927   -1.4750475469e-07   -2.1531565731e-07
   0.0000000   3.6651914   -1.4750475469e-07   -2.1531565731e-07
   0.0000000   4.1887902   -1.4750475469e-07   -2.1531565731e-07
   0.0000000   4.7123890   -1.4750475469e-07   -2.1531565731e-07
   0.0000000   5.2359878   -1.4750475469e-07   -2.1531565731e-07
   0.0000000   5.7595865   -1.4750475469e-07   -2.1531565731e-07
   0.1745329   0.0000000    3.2985850935e-07    1.4629530249e-09
   0.1745329   0.5235988    2.0942729494e-07    3.4875996167e-07
   0.1745329   1.0471976   -2.3286470130e-07    4.0634128686e-07
   0.1745329   1.5707963   -4.9311729309e-07   -6.3769797354e-10
   0.1745329   2.0943951   -2.3337738362e-07   -4.0805938552e-07
   0.1745329   2.6179939    2.0980910073e-07   -3.4813216101e-07
   0.1745329   3.1415927    3.3013313508e-07   -1.1378795689e-09
   0.1745329   3.6651914    1.4253336603e-07    2.3312950864e-07
   0.1745329   4.1887902   -1.1774601597e-07    2.0600894635e-07
   0.1745329   4.7123890   -2.2177290380e-07    3.7754051815e-10
   0.1745329   5.2359878   -1.1745953843e-07   -2.0488938761e-07
   0.1745329   5.7595865    1.4237611469e-07   -2.3338274040e-07
   0.3490659   0.0000000    3.3130251724e-07    1.3800679739e-10
   0.3490659   0.5235988    2.6827136723e-07    4.1215075387e-07
   0.3490659   1.0471976   -3.0085245617e-07    5.9399319290e-07
   0.3490659   1.5707963   -7.4722547145e-07   -8.0416603521e-11
   0.3490659   2.0943951   -3.0111266880e-07   -5.9370483162e-07
   0.3490659   2.6179939    2.6822595751e-07   -4.1211735636e-07
   0.3490659   3.1415927    3.3130397957e-07   -1.3653460310e-10
   0.3490659   3.6651914    1.2221449105e-07    1.8781658933e-07
   0.3490659   4.1887902   -7.5347533897e-08    1.4842386843e-07
   0.3490659   4.7123890   -1.4849800724e-07    1.5202746680e-11
   0.3490659   5.2359878   -7.5287219546e-08   -1.4849297090e-07
   0.3490659   5.7595865    1.2223514353e-07   -1.8783119616e-07
   0.5235988   0.0000000    3.3138393779e-07    2.8884346050e-11
   0.5235988   0.5235988    3.5657861694e-07    4.7534920480e-07
   0.5235988   1.0471976   -3.6616561170e-07    8.7840597697e-07
   0.5235988   1.5707963   -1.1507796419e-06   -2.9582492224e-11
