#   time = 45.703125,       r = 80.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.0000000   0.0000000   -1.4671274341e-07   -2.1417572099e-07
   0.0000000   0.5235988   -1.4671274341e-07   -2.1417572099e-07
   0.0000000   1.0471976   -1.4671274341e-07   -2.1417572099e-07
   0.0000000   1.5707963   -1.4671274341e-07   -2.1417572099e-07
   0.0000000   2.0943951   -1.4671274341e-07   -2.1417572099e-07
   0.0000000   2.6179939   -1.4671274341e-07   -2.1417572099e-07
   0.0000000   3.1415927   -1.4671274341e-07   -2.1417572099e-07
   0.0000000   3.6651914   -1.4671274341e-07   -2.1417572099e-07
   0.0000000   4.1887902   -1.4671274341e-07   -2.1417572099e-07
   0.0000000   4.7123890   -1.4671274341e-07   -2.1417572099e-07
   0.0000000   5.2359878   -1.4671274341e-07   -2.1417572099e-07
   0.0000000   5.7595865   -1.4671274341e-07   -2.1417572099e-07
   0.1745329   0.0000000    3.2814606322e-07    1.4537550828e-09
   0.1745329   0.5235988    2.0824200578e-07    3.4670943809e-07
   0.1745329   1.0471976   -2.3132943233e-07    4.0375973014e-07
   0.1745329   1.5707963   -4.8981144894e-07   -6.3293125757e-10
   0.1745329   2.0943951   -2.3183830237e-07   -4.0546590693e-07
   0.1745329   2.6179939    2.0862126663e-07   -3.4608532210e-07
   0.1745329   3.1415927    3.2841926823e-07   -1.1305871956e-09
   0.1745329   3.6651914    1.4187951061e-07    2.3201929428e-07
   0.1745329   4.1887902   -1.1720100672e-07    2.0510168540e-07
   0.1745329   4.7123890   -2.2079376115e-07    3.7585317941e-10
   0.1745329   5.2359878   -1.1691618876e-07   -2.0398755499e-07
   0.1745329   5.7595865    1.4172298991e-07   -2.3227120672e-07
   0.3490659   0.0000000    3.2958527087e-07    1.3797626901e-10
   0.3490659   0.5235988    2.6654473966e-07    4.0941314051e-07
   0.3490659   1.0471976   -2.9834620471e-07    5.8925633706e-07
   0.3490659   1.5707963   -7.4085903710e-07   -7.9963071014e-11
   0.3490659   2.0943951   -2.9860569270e-07   -5.8897070186e-07
   0.3490659   2.6179939    2.6649989401e-07   -4.0937933265e-07
   0.3490659   3.1415927    3.2958647504e-07   -1.3664154235e-10
   0.3490659   3.6651914    1.2170371442e-07    1.8699363696e-07
   0.3490659   4.1887902   -7.5035838338e-08    1.4783710091e-07
   0.3490659   4.7123890   -1.4807904687e-07    1.5119543609e-11
   0.3490659   5.2359878   -7.4975854179e-08   -1.4790583389e-07
   0.3490659   5.7595865    1.2172423592e-07   -1.8700811442e-07
   0.5235988   0.0000000    3.2966746063e-07    2.9650681323e-11
   0.5235988   0.5235988    3.5392204775e-07    4.7170774631e-07
   0.5235988   1.0471976   -3.6160287751e-07    8.6677569073e-07
   0.5235988   1.5707963   -1.1449157081e-06   -3.1866909938e-11
   0.5235988   2.0943951   -3.6152049330e-07   -8.6694716395e-07
   0.5235988   2.6179939    3.5390536265e-07   -4.7168587118e-07
   0.5235988   3.1415927    3.2966733659e-07   -2.9826151845e-11
   0.5235988   3.6651914    1.1120727188e-07    1.4819347646e-07
   0.5235988   4.1887902   -4.4935293774e-08    1.0781429418e-07
   0.5235988   4.7123890   -9.5876351211e-08    1.9655048111e-12
   0.5235988   5.2359878   -4.4946756791e-08   -1.0780684363e-07
   0.5235988   5.7595865    1.1120985467e-07   -1.4820024889e-07
   0.6981317   0.0000000    3.2967610696e-07    4.1382940899e-12
   0.6981317   0.5235988    4.7316904715e-07    5.2011269531e-07
   0.6981317   1.0471976   -3.6909287831e-07    1.2895845760e-06
   0.6981317   1.5707963   -1.8921002884e-06    4.5467878091e-10
   0.6981317   2.0943951   -3.6905052931e-07   -1.2887954316e-06
   0.6981317   2.6179939    4.7316883152e-07   -5.2012494405e-07
   0.6981317   3.1415927    3.2967583519e-07   -4.2229385631e-12
   0.6981317   3.6651914    1.0490957933e-07    1.1534284390e-07
   0.6981317   4.1887902   -2.2520529584e-08    7.8520206730e-08
   0.6981317   4.7123890   -6.3997837899e-08    5.0050515194e-13
   0.6981317   5.2359878   -2.2520915880e-08   -7.8519464839e-08
   0.6981317   5.7595865    1.0490970974e-07   -1.1534369114e-07
   0.8726646   0.0000000    3.2967428259e-07   -5.6867962537e-12
   0.8726646   0.5235988    6.2445183532e-07    5.3730576992e-07
   0.8726646   1.0471976   -2.0279434367e-07    2.0118706238e-06
   0.8726646   1.5707963   -2.9520849501e-06    6.7302581485e-09
   0.8726646   2.0943951   -2.0318026533e-07   -2.0083823837e-06
   0.8726646   2.6179939    6.2441427174e-07   -5.3728843534e-07
   0.8726646   3.1415927    3.2967345264e-07    5.5761240921e-12
   0.8726646   3.6651914    1.0129152811e-07    8.7183325409e-08
   0.8726646   4.1887902   -6.2897760344e-09    5.8565030596e-08
   0.8726646   4.7123890   -3.2845017934e-08    1.3631605596e-13
   0.8726646   5.2359878   -6.2896031680e-09   -5.8564999363e-08
   0.8726646   5.7595865    1.0129225165e-07   -8.7184610517e-08
   1.0471976   0.0000000    3.2966987955e-07   -9.1280787821e-12
   1.0471976   0.5235988    7.9598183209e-07    5.0095573843e-07
   1.0471976   1.0471976    2.9692388549e-07    2.1781513812e-06
   1.0471976   1.5707963   -4.5030542721e-06    3.3698113803e-08
   1.0471976   2.0943951    3.0429876007e-07   -2.2089932383e-06
   1.0471976   2.6179939    7.9597324897e-07   -5.0096507039e-07
   1.0471976   3.1415927    3.2967009030e-07    9.3546002608e-12
   1.0471976   3.6651914    9.8830009941e-08    6.2236638540e-08
   1.0471976   4.1887902    5.1297575917e-09    3.5513055210e-08
   1.0471976   4.7123890   -2.1030916742e-08    8.8025501442e-14
   1.0471976   5.2359878    5.1292471348e-09   -3.5512690237e-08
   1.0471976   5.7595865    9.8829228025e-08   -6.2235747226e-08
   1.2217305   0.0000000    3.2966584134e-07   -8.5789997382e-12
   1.2217305   0.5235988    9.6317248321e-07    3.9532690157e-07
   1.2217305   1.0471976    2.1273071427e-06    3.9800242213e-06
   1.2217305   1.5707963   -2.7528385790e-06   -1.8954034710e-07
   1.2217305   2.0943951    2.0878870478e-06   -3.8978843591e-06
   1.2217305   2.6179939    9.6383651176e-07   -3.9579718389e-07
   1.2217305   3.1415927    3.2966493201e-07    8.9468688447e-12
