#   time = 33.984375,       r = 80.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.0000000   0.0000000   -1.4709126773e-07   -2.1472128477e-07
   0.0000000   0.5235988   -1.4709126773e-07   -2.1472128477e-07
   0.0000000   1.0471976   -1.4709126773e-07   -2.1472128477e-07
   0.0000000   1.5707963   -1.4709126773e-07   -2.1472128477e-07
   0.0000000   2.0943951   -1.4709126773e-07   -2.1472128477e-07
   0.0000000   2.6179939   -1.4709126773e-07   -2.1472128477e-07
   0.0000000   3.1415927   -1.4709126773e-07   -2.1472128477e-07
   0.0000000   3.6651914   -1.4709126773e-07   -2.1472128477e-07
   0.0000000   4.1887902   -1.4709126773e-07   -2.1472128477e-07
   0.0000000   4.7123890   -1.4709126773e-07   -2.1472128477e-07
   0.0000000   5.2359878   -1.4709126773e-07   -2.1472128477e-07
   0.0000000   5.7595865   -1.4709126773e-07   -2.1472128477e-07
   0.1745329   0.0000000    3.2896555067e-07    1.4580898943e-09
   0.1745329   0.5235988    2.0880846086e-07    3.4768757881e-07
   0.1745329   1.0471976   -2.3206018511e-07    4.0498852864e-07
   0.1745329   1.5707963   -4.9139389330e-07   -6.3520755182e-10
   0.1745329   2.0943951   -2.3257105997e-07   -4.0670069082e-07
   0.1745329   2.6179939    2.0918894735e-07   -3.4706171862e-07
   0.1745329   3.1415927    3.2923936957e-07   -1.1340216981e-09
   0.1745329   3.6651914    1.4219114863e-07    2.3254730707e-07
   0.1745329   4.1887902   -1.1745859297e-07    2.0553107928e-07
   0.1745329   4.7123890   -2.2126051426e-07    3.7665754087e-10
   0.1745329   5.2359878   -1.1717296821e-07   -2.0441434808e-07
   0.1745329   5.7595865    1.4203428949e-07   -2.3279987358e-07
   0.3490659   0.0000000    3.3040643548e-07    1.3805242310e-10
   0.3490659   0.5235988    2.6736753234e-07    4.1071661613e-07
   0.3490659   1.0471976   -2.9951818502e-07    5.9144441881e-07
   0.3490659   1.5707963   -7.4367607768e-07   -7.9887169675e-11
   0.3490659   2.0943951   -2.9977675249e-07   -5.9115758921e-07
   0.3490659   2.6179939    2.6732238777e-07   -4.1068343583e-07
   0.3490659   3.1415927    3.3040787806e-07   -1.3659105954e-10
   0.3490659   3.6651914    1.2194674354e-07    1.8738554537e-07
   0.3490659   4.1887902   -7.5184414348e-08    1.4812055148e-07
   0.3490659   4.7123890   -1.4820308135e-07    1.5161200600e-11
   0.3490659   5.2359878   -7.5124266951e-08   -1.4818946008e-07
   0.3490659   5.7595865    1.2196730915e-07   -1.8740010834e-07
   0.5235988   0.0000000    3.3048811015e-07    2.9408830871e-11
   0.5235988   0.5235988    3.5519686446e-07    4.7345953968e-07
   0.5235988   1.0471976   -3.6397119679e-07    8.7333708834e-07
   0.5235988   1.5707963   -1.1428009249e-06   -2.8304566352e-11
   0.5235988   2.0943951   -3.6385444386e-07   -8.7340199494e-07
   0.5235988   2.6179939    3.5518829704e-07   -4.7343477925e-07
   0.5235988   3.1415927    3.3048820485e-07   -2.9378009810e-11
   0.5235988   3.6651914    1.1144587033e-07    1.4852764614e-07
   0.5235988   4.1887902   -4.5063058824e-08    1.0808632241e-07
   0.5235988   4.7123890   -9.7071126496e-08    1.9597720879e-12
   0.5235988   5.2359878   -4.5074548556e-08   -1.0807883707e-07
   0.5235988   5.7595865    1.1144842260e-07   -1.4853443462e-07
   0.6981317   0.0000000    3.3049641618e-07    3.7857669351e-12
   0.6981317   0.5235988    4.7514249187e-07    5.2232958681e-07
   0.6981317   1.0471976   -3.7323239302e-07    1.3028371912e-06
   0.6981317   1.5707963   -1.7964612267e-06   -6.4294746928e-12
   0.6981317   2.0943951   -3.7323177918e-07   -1.3028429545e-06
   0.6981317   2.6179939    4.7514204623e-07   -5.2232760872e-07
   0.6981317   3.1415927    3.3049640455e-07   -3.7923757156e-12
   0.6981317   3.6651914    1.0504630845e-07    1.1549731460e-07
   0.6981317   4.1887902   -2.2614888380e-08    7.8867976856e-08
   0.6981317   4.7123890   -6.1482236323e-08    4.8147025386e-13
   0.6981317   5.2359878   -2.2615143077e-08   -7.8867126530e-08
   0.6981317   5.7595865    1.0504634302e-07   -1.1549806540e-07
   0.8726646   0.0000000    3.3049450908e-07   -5.7544201694e-12
   0.8726646   0.5235988    6.2723048671e-07    5.3972592404e-07
   0.8726646   1.0471976   -2.0663760671e-07    1.9214808962e-06
   0.8726646   1.5707963   -2.8521597766e-06    4.7627586101e-10
   0.8726646   2.0943951   -2.0663377442e-07   -1.9217228498e-06
   0.8726646   2.6179939    6.2722261188e-07   -5.3971771584e-07
   0.8726646   3.1415927    3.3049395857e-07    5.7621664878e-12
   0.8726646   3.6651914    1.0126659380e-07    8.7162223251e-08
   0.8726646   4.1887902   -6.0660132914e-09    5.6392557270e-08
   0.8726646   4.7123890   -3.5976343103e-08    1.6622889175e-13
   0.8726646   5.2359878   -6.0657541024e-09   -5.6392401273e-08
   0.8726646   5.7595865    1.0126742510e-07   -8.7163575059e-08
   1.0471976   0.0000000    3.3049031391e-07   -9.1969668540e-12
   1.0471976   0.5235988    8.0065779705e-07    5.0410481651e-07
   1.0471976   1.0471976    3.8549381932e-07    2.6655779711e-06
   1.0471976   1.5707963   -3.9871304546e-06    5.9525874775e-09
   1.0471976   2.0943951    3.8549370996e-07   -2.6655955915e-06
   1.0471976   2.6179939    8.0069207141e-07   -5.0410629808e-07
   1.0471976   3.1415927    3.3049095446e-07    9.1566721107e-12
   1.0471976   3.6651914    9.9075575759e-08    6.2399817587e-08
   1.0471976   4.1887902    5.5115792217e-09    3.8171204927e-08
   1.0471976   4.7123890   -2.1257606356e-08    7.8011879262e-14
   1.0471976   5.2359878    5.5111616665e-09   -3.8170975503e-08
   1.0471976   5.7595865    9.9074690193e-08   -6.2398845220e-08
   1.2217305   0.0000000    3.3048683372e-07   -8.5159445886e-12
   1.2217305   0.5235988    9.6955135203e-07    3.9830212377e-07
