#   time = 31.640625,       r = 80.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.0000000   0.0000000   -1.4716657210e-07   -2.1482965195e-07
   0.0000000   0.5235988   -1.4716657210e-07   -2.1482965195e-07
   0.0000000   1.0471976   -1.4716657210e-07   -2.1482965195e-07
   0.0000000   1.5707963   -1.4716657210e-07   -2.1482965195e-07
   0.0000000   2.0943951   -1.4716657210e-07   -2.1482965195e-07
   0.0000000   2.6179939   -1.4716657210e-07   -2.1482965195e-07
   0.0000000   3.1415927   -1.4716657210e-07   -2.1482965195e-07
   0.0000000   3.6651914   -1.4716657210e-07   -2.1482965195e-07
   0.0000000   4.1887902   -1.4716657210e-07   -2.1482965195e-07
   0.0000000   4.7123890   -1.4716657210e-07   -2.1482965195e-07
   0.0000000   5.2359878   -1.4716657210e-07   -2.1482965195e-07
   0.0000000   5.7595865   -1.4716657210e-07   -2.1482965195e-07
   0.1745329   0.0000000    3.2912837661e-07    1.4589774024e-09
   0.1745329   0.5235988    2.0892153915e-07    3.4788331781e-07
   0.1745329   1.0471976   -2.3220662572e-07    4.0523508219e-07
   0.1745329   1.5707963   -4.9170736254e-07   -6.3566285440e-10
   0.1745329   2.0943951   -2.3271784921e-07   -4.0694833986e-07
   0.1745329   2.6179939    2.0930227720e-07   -3.4725713497e-07
   0.1745329   3.1415927    3.2940236860e-07   -1.1347213198e-09
   0.1745329   3.6651914    1.4225354736e-07    2.3265337545e-07
   0.1745329   4.1887902   -1.1751090967e-07    2.0561813515e-07
   0.1745329   4.7123890   -2.2135399009e-07    3.7682364535e-10
   0.1745329   5.2359878   -1.1722511433e-07   -2.0450087976e-07
   0.1745329   5.7595865    1.4209661747e-07   -2.3290603857e-07
   0.3490659   0.0000000    3.3056983906e-07    1.3804547032e-10
   0.3490659   0.5235988    2.6753213704e-07    4.1097780661e-07
   0.3490659   1.0471976   -2.9976245006e-07    5.9191275062e-07
   0.3490659   1.5707963   -7.4432495604e-07   -8.0005073291e-11
   0.3490659   2.0943951   -3.0002143957e-07   -5.9162570939e-07
   0.3490659   2.6179939    2.6748700088e-07   -4.1094463756e-07
   0.3490659   3.1415927    3.3057133278e-07   -1.3657372054e-10
   0.3490659   3.6651914    1.2199559970e-07    1.8746417673e-07
   0.3490659   4.1887902   -7.5213331726e-08    1.4817459173e-07
   0.3490659   4.7123890   -1.4825198930e-07    1.5175115621e-11
   0.3490659   5.2359878   -7.5153128929e-08   -1.4824354474e-07
   0.3490659   5.7595865    1.2201617910e-07   -1.8747872832e-07
   0.5235988   0.0000000    3.3065157711e-07    2.9285347373e-11
   0.5235988   0.5235988    3.5544994122e-07    4.7380434607e-07
   0.5235988   1.0471976   -3.6437167677e-07    8.7424888975e-07
   0.5235988   1.5707963   -1.1442198279e-06   -2.9398132804e-11
   0.5235988   2.0943951   -3.6425588799e-07   -8.7431809350e-07
   0.5235988   2.6179939    3.5544061704e-07   -4.7377950244e-07
   0.5235988   3.1415927    3.3065158583e-07   -2.9284817719e-11
   0.5235988   3.6651914    1.1148809387e-07    1.4858650538e-07
   0.5235988   4.1887902   -4.5089431959e-08    1.0814455402e-07
   0.5235988   4.7123890   -9.7119886013e-08    1.9578149849e-12
   0.5235988   5.2359878   -4.5100923748e-08   -1.0813708489e-07
   0.5235988   5.7595865    1.1149068953e-07   -1.4859332820e-07
   0.6981317   0.0000000    3.3065973024e-07    3.7169497587e-12
   0.6981317   0.5235988    4.7553038676e-07    5.2276819541e-07
   0.6981317   1.0471976   -3.7381154499e-07    1.3046360182e-06
   0.6981317   1.5707963   -1.7995092852e-06   -3.1771603711e-11
   0.6981317   2.0943951   -3.7380919717e-07   -1.3046465752e-06
   0.6981317   2.6179939    4.7553113694e-07   -5.2276458117e-07
   0.6981317   3.1415927    3.3065970910e-07   -3.7290793243e-12
   0.6981317   3.6651914    1.0508079685e-07    1.1553669390e-07
   0.6981317   4.1887902   -2.2583303072e-08    7.8763884116e-08
   0.6981317   4.7123890   -6.1626161038e-08    4.8241011116e-13
   0.6981317   5.2359878   -2.2583559358e-08   -7.8763018307e-08
   0.6981317   5.7595865    1.0508077255e-07   -1.1553743471e-07
   0.8726646   0.0000000    3.3065780642e-07   -5.7481549806e-12
   0.8726646   0.5235988    6.2782067949e-07    5.4024273957e-07
   0.8726646   1.0471976   -2.0700992168e-07    1.9267414551e-06
   0.8726646   1.5707963   -2.8708961656e-06   -1.9989176133e-10
   0.8726646   2.0943951   -2.0703564763e-07   -1.9267229449e-06
   0.8726646   2.6179939    6.2781273218e-07   -5.4023294318e-07
   0.8726646   3.1415927    3.3065725444e-07    5.7677342256e-12
   0.8726646   3.6651914    1.0129876405e-07    8.7190926308e-08
   0.8726646   4.1887902   -6.1166162846e-09    5.6791657309e-08
   0.8726646   4.7123890   -3.5633464812e-08    1.6495749472e-13
   0.8726646   5.2359878   -6.1163528071e-09   -5.6791500319e-08
   0.8726646   5.7595865    1.0129963704e-07   -8.7192317058e-08
   1.0471976   0.0000000    3.3065373317e-07   -9.1116343125e-12
   1.0471976   0.5235988    8.0150779568e-07    5.0464677095e-07
