#   time = 38.671875,       r = 80.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.0000000   0.0000000   -1.4694028815e-07   -2.1450381973e-07
   0.0000000   0.5235988   -1.4694028815e-07   -2.1450381973e-07
   0.0000000   1.0471976   -1.4694028815e-07   -2.1450381973e-07
   0.0000000   1.5707963   -1.4694028815e-07   -2.1450381973e-07
   0.0000000   2.0943951   -1.4694028815e-07   -2.1450381973e-07
   0.0000000   2.6179939   -1.4694028815e-07   -2.1450381973e-07
   0.0000000   3.1415927   -1.4694028815e-07   -2.1450381973e-07
   0.0000000   3.6651914   -1.4694028815e-07   -2.1450381973e-07
   0.0000000   4.1887902   -1.4694028815e-07   -2.1450381973e-07
   0.0000000   4.7123890   -1.4694028815e-07   -2.1450381973e-07
   0.0000000   5.2359878   -1.4694028815e-07   -2.1450381973e-07
   0.0000000   5.7595865   -1.4694028815e-07   -2.1450381973e-07
   0.1745329   0.0000000    3.2863880185e-07    1.4562864821e-09
   0.1745329   0.5235988    2.0858251255e-07    3.4729668064e-07
   0.1745329   1.0471976   -2.3176681624e-07    4.0449519167e-07
   0.1745329   1.5707963   -4.9076343172e-07   -6.3431294602e-10
   0.1745329   2.0943951   -2.3227704311e-07   -4.0620520239e-07
   0.1745329   2.6179939    2.0896251414e-07   -3.4667158471e-07
   0.1745329   3.1415927    3.2891233239e-07   -1.1325877053e-09
   0.1745329   3.6651914    1.4206593364e-07    2.3233456001e-07
   0.1745329   4.1887902   -1.1735289338e-07    2.0535527616e-07
   0.1745329   4.7123890   -2.2107244956e-07    3.7635319094e-10
   0.1745329   5.2359878   -1.1706759323e-07   -2.0423958668e-07
   0.1745329   5.7595865    1.4190923608e-07   -2.3258687250e-07
   0.3490659   0.0000000    3.3007876964e-07    1.3810743910e-10
   0.3490659   0.5235988    2.6703703901e-07    4.1019250934e-07
   0.3490659   1.0471976   -2.9903542221e-07    5.9052307648e-07
   0.3490659   1.5707963   -7.4236744858e-07   -7.9900481781e-11
   0.3490659   2.0943951   -2.9929340139e-07   -5.9023651619e-07
   0.3490659   2.6179939    2.6699158464e-07   -4.1015907508e-07
   0.3490659   3.1415927    3.3008025217e-07   -1.3663264931e-10
   0.3490659   3.6651914    1.2184811369e-07    1.8722711127e-07
   0.3490659   4.1887902   -7.5126966468e-08    1.4801472852e-07
   0.3490659   4.7123890   -1.4807211488e-07    1.5150907579e-11
   0.3490659   5.2359878   -7.5066883177e-08   -1.4808358445e-07
   0.3490659   5.7595865    1.2186871578e-07   -1.8724167159e-07
   0.5235988   0.0000000    3.3016069987e-07    2.9526738235e-11
   0.5235988   0.5235988    3.5468935997e-07    4.7276714012e-07
   0.5235988   1.0471976   -3.6317113622e-07    8.7148458164e-07
   0.5235988   1.5707963   -1.1396578528e-06   -3.3012700983e-11
   0.5235988   2.0943951   -3.6305376294e-07   -8.7154495750e-07
   0.5235988   2.6179939    3.5468137372e-07   -4.7274284371e-07
   0.5235988   3.1415927    3.3016079333e-07   -2.9545662548e-11
   0.5235988   3.6651914    1.1136684433e-07    1.4841833990e-07
   0.5235988   4.1887902   -4.5037101128e-08    1.0802536385e-07
   0.5235988   4.7123890   -9.7291365629e-08    1.9451257805e-12
   0.5235988   5.2359878   -4.5048608936e-08   -1.0801786975e-07
   0.5235988   5.7595865    1.1136941966e-07   -1.4842520773e-07
   0.6981317   0.0000000    3.3016879776e-07    3.9230490668e-12
   0.6981317   0.5235988    4.7436577669e-07    5.2144967743e-07
   0.6981317   1.0471976   -3.7197812872e-07    1.2973835262e-06
   0.6981317   1.5707963   -1.7920091904e-06   -1.6180818391e-10
   0.6981317   2.0943951   -3.7198403167e-07   -1.2974823300e-06
   0.6981317   2.6179939    4.7436138662e-07   -5.2145214904e-07
   0.6981317   3.1415927    3.3016916703e-07   -3.8946341217e-12
   0.6981317   3.6651914    1.0496684939e-07    1.1540612948e-07
   0.6981317   4.1887902   -2.2577743745e-08    7.8756200634e-08
   0.6981317   4.7123890   -6.0375072904e-08    4.7801205241e-13
   0.6981317   5.2359878   -2.2577976747e-08   -7.8755302425e-08
   0.6981317   5.7595865    1.0496679537e-07   -1.1540673188e-07
   0.8726646   0.0000000    3.3016692316e-07   -5.7851751172e-12
   0.8726646   0.5235988    6.2605551428e-07    5.3869747924e-07
   0.8726646   1.0471976   -2.0471730752e-07    1.9181053201e-06
   0.8726646   1.5707963   -3.0238255548e-06   -1.5785577757e-09
   0.8726646   2.0943951   -2.0484196731e-07   -1.9168485309e-06
   0.8726646   2.6179939    6.2604576594e-07   -5.3869576327e-07
   0.8726646   3.1415927    3.3016683791e-07    5.7837267962e-12
   0.8726646   3.6651914    1.0115318077e-07    8.7060830798e-08
   0.8726646   4.1887902   -6.0039436280e-09    5.5760973074e-08
   0.8726646   4.7123890   -3.8658155233e-08    1.7437086356e-13
   0.8726646   5.2359878   -6.0036964040e-09   -5.5760820341e-08
   0.8726646   5.7595865    1.0115406790e-07   -8.7062297032e-08
   1.0471976   0.0000000    3.3016299835e-07   -9.2567513367e-12
   1.0471976   0.5235988    7.9892800822e-07    5.0298513129e-07
   1.0471976   1.0471976    3.9652170192e-07    2.7334964151e-06
   1.0471976   1.5707963   -5.3356914145e-06   -1.0443934164e-08
   1.0471976   2.0943951    3.9667248531e-07   -2.7331793319e-06
   1.0471976   2.6179939    7.9897152641e-07   -5.0300723120e-07
   1.0471976   3.1415927    3.3016380826e-07    9.2511449547e-12
   1.0471976   3.6651914    9.9021449934e-08    6.2365296449e-08
   1.0471976   4.1887902    5.9386704931e-09    4.1126630626e-08
   1.0471976   4.7123890   -1.7423415293e-08    6.5944817139e-14
   1.0471976   5.2359878    5.9382380179e-09   -4.1126415649e-08
   1.0471976   5.7595865    9.9020567835e-08   -6.2364291038e-08
   1.2217305   0.0000000    3.3015926365e-07   -8.7195966425e-12
   1.2217305   0.5235988    9.6735819491e-07    3.9742072661e-07
   1.2217305   1.0471976    1.5128767888e-06    2.7086466562e-06
   1.2217305   1.5707963   -4.9156931093e-06    6.3136882126e-08
   1.2217305   2.0943951    1.5281989897e-06   -2.7290678605e-06
   1.2217305   2.6179939    9.6742209760e-07   -3.9741708580e-07
   1.2217305   3.1415927    3.3015923327e-07    8.6575866119e-12
   1.2217305   3.6651914    9.7945042163e-08    4.0251095625e-08
   1.2217305   4.1887902    1.3935514267e-08    2.5427901641e-08
   1.2217305   4.7123890   -7.2695731491e-09    3.0001606954e-14
   1.2217305   5.2359878    1.3935385883e-08   -2.5427962024e-08
   1.2217305   5.7595865    9.7944154423e-08   -4.0250594616e-08
   1.3962634   0.0000000    3.3015631232e-07   -5.1567910283e-12
   1.3962634   0.5235988    1.0932622153e-06    2.2138568885e-07
   1.3962634   1.0471976    3.9753245396e-06    2.5157546097e-06
   1.3962634   1.5707963   -2.5344141375e-06   -1.2884420818e-08
