#   time = 48.046875,       r = 80.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.0000000   0.0000000   -1.4663751178e-07   -2.1406780604e-07
   0.0000000   0.5235988   -1.4663751178e-07   -2.1406780604e-07
   0.0000000   1.0471976   -1.4663751178e-07   -2.1406780604e-07
   0.0000000   1.5707963   -1.4663751178e-07   -2.1406780604e-07
   0.0000000   2.0943951   -1.4663751178e-07   -2.1406780604e-07
   0.0000000   2.6179939   -1.4663751178e-07   -2.1406780604e-07
   0.0000000   3.1415927   -1.4663751178e-07   -2.1406780604e-07
   0.0000000   3.6651914   -1.4663751178e-07   -2.1406780604e-07
   0.0000000   4.1887902   -1.4663751178e-07   -2.1406780604e-07
   0.0000000   4.7123890   -1.4663751178e-07   -2.1406780604e-07
   0.0000000   5.2359878   -1.4663751178e-07   -2.1406780604e-07
   0.0000000   5.7595865   -1.4663751178e-07   -2.1406780604e-07
   0.1745329   0.0000000    3.2798170584e-07    1.4520409769e-09
   0.1745329   0.5235988    2.0813420557e-07    3.4651958365e-07
   0.1745329   1.0471976   -2.3115226414e-07    4.0346008242e-07
   0.1745329   1.5707963   -4.8941643410e-07   -6.3231634706e-10
   0.1745329   2.0943951   -2.3166129543e-07   -4.0516588168e-07
   0.1745329   2.6179939    2.0851275711e-07   -3.4589517178e-07
   0.1745329   3.1415927    3.2825484875e-07   -1.1290783710e-09
   0.1745329   3.6651914    1.4181829042e-07    2.3191735977e-07
   0.1745329   4.1887902   -1.1713647347e-07    2.0499616903e-07
   0.1745329   4.7123890   -2.2066755941e-07    3.7564349414e-10
   0.1745329   5.2359878   -1.1685183663e-07   -2.0388260785e-07
   0.1745329   5.7595865    1.4166182607e-07   -2.3216909891e-07
   0.3490659   0.0000000    3.2941867768e-07    1.3792424488e-10
   0.3490659   0.5235988    2.6634456167e-07    4.0910956202e-07
   0.3490659   1.0471976   -2.9821130641e-07    5.8911657005e-07
   0.3490659   1.5707963   -7.3855572149e-07   -8.1957911021e-11
   0.3490659   2.0943951   -2.9845596171e-07   -5.8880228510e-07
   0.3490659   2.6179939    2.6630141696e-07   -4.0907790625e-07
   0.3490659   3.1415927    3.2942018914e-07   -1.3660185817e-10
   0.3490659   3.6651914    1.2163794062e-07    1.8688789929e-07
   0.3490659   4.1887902   -7.5082234063e-08    1.4792507786e-07
   0.3490659   4.7123890   -1.4814485935e-07    1.5120969403e-11
   0.3490659   5.2359878   -7.5022247919e-08   -1.4799378662e-07
   0.3490659   5.7595865    1.2165846637e-07   -1.8690236383e-07
   0.5235988   0.0000000    3.2950211870e-07    3.0163378748e-11
   0.5235988   0.5235988    3.5365952745e-07    4.7134878504e-07
   0.5235988   1.0471976   -3.6218592937e-07    8.6980898239e-07
   0.5235988   1.5707963   -1.1290119044e-06   -1.0033351039e-10
   0.5235988   2.0943951   -3.6207966295e-07   -8.6992730561e-07
   0.5235988   2.6179939    3.5364655239e-07   -4.7133395727e-07
   0.5235988   3.1415927    3.2950210901e-07   -3.0009048698e-11
   0.5235988   3.6651914    1.1119010341e-07    1.4817626278e-07
   0.5235988   4.1887902   -4.4631780723e-08    1.0711585576e-07
   0.5235988   4.7123890   -9.6319953446e-08    1.9745459374e-12
   0.5235988   5.2359878   -4.4643142579e-08   -1.0710858306e-07
   0.5235988   5.7595865    1.1119259187e-07   -1.4818294131e-07
   0.6981317   0.0000000    3.2951156446e-07    4.3476739483e-12
   0.6981317   0.5235988    4.7296859543e-07    5.1984421643e-07
   0.6981317   1.0471976   -3.6676471032e-07    1.2546959682e-06
   0.6981317   1.5707963   -1.8832802435e-06   -3.7081992002e-10
   0.6981317   2.0943951   -3.6687939663e-07   -1.2567729423e-06
   0.6981317   2.6179939    4.7294742844e-07   -5.1983682494e-07
   0.6981317   3.1415927    3.2951150426e-07   -4.2335904388e-12
   0.6981317   3.6651914    1.0498820145e-07    1.1543327611e-07
   0.6981317   4.1887902   -2.3079658328e-08    8.0413101120e-08
   0.6981317   4.7123890   -6.2350883799e-08    5.1501665408e-13
   0.6981317   5.2359878   -2.3079871855e-08   -8.0412279098e-08
   0.6981317   5.7595865    1.0498842931e-07   -1.1543412556e-07
   0.8726646   0.0000000    3.2950976625e-07   -6.0288476559e-12
   0.8726646   0.5235988    6.2353628246e-07    5.3646652032e-07
   0.8726646   1.0471976   -1.9182801961e-07    1.9928752226e-06
   0.8726646   1.5707963   -3.4756709027e-06    5.2085251260e-09
   0.8726646   2.0943951   -1.9313611293e-07   -1.9781303709e-06
   0.8726646   2.6179939    6.2350063650e-07   -5.3646166859e-07
   0.8726646   3.1415927    3.2950938931e-07    5.6113170321e-12
   0.8726646   3.6651914    1.0103856315e-07    8.6956454031e-08
   0.8726646   4.1887902   -5.9628801541e-09    5.5764310675e-08
   0.8726646   4.7123890   -3.4167407517e-08    1.0424451333e-13
   0.8726646   5.2359878   -5.9627924247e-09   -5.5763843170e-08
   0.8726646   5.7595865    1.0103899980e-07   -8.6957725366e-08
   1.0471976   0.0000000    3.2950461594e-07   -9.8589355163e-12
   1.0471976   0.5235988    7.9471785046e-07    5.0006300567e-07
   1.0471976   1.0471976    3.7795787731e-07    2.7479963546e-06
   1.0471976   1.5707963   -5.1741741700e-06    8.1229686581e-08
   1.0471976   2.0943951    3.8108421111e-07   -2.7690515918e-06
   1.0471976   2.6179939    7.9501815941e-07   -5.0035514384e-07
   1.0471976   3.1415927    3.2950548944e-07    9.5209984262e-12
   1.0471976   3.6651914    9.8189818421e-08    6.1824326614e-08
   1.0471976   4.1887902    5.1379094691e-09    3.5573583930e-08
   1.0471976   4.7123890   -2.1668184251e-08    5.9571424376e-14
   1.0471976   5.2359878    5.1376428878e-09   -3.5573706096e-08
   1.0471976   5.7595865    9.8190295581e-08   -6.1822569833e-08
   1.2217305   0.0000000    3.2949933030e-07   -9.0623437489e-12
   1.2217305   0.5235988    9.6874637728e-07    3.9971680607e-07
   1.2217305   1.0471976    1.4474919564e-06    2.7519101924e-06
   1.2217305   1.5707963   -3.4394708007e-06   -1.4922346418e-07
   1.2217305   2.0943951    1.4793034624e-06   -2.7246109728e-06
   1.2217305   2.6179939    9.6836975553e-07   -3.9952706253e-07
   1.2217305   3.1415927    3.2949984258e-07    9.2750510172e-12
   1.2217305   3.6651914    9.6715981171e-08    3.9743541449e-08
   1.2217305   4.1887902    1.4175307990e-08    2.5873704365e-08
   1.2217305   4.7123890   -8.3744551032e-09    3.9114814059e-14
   1.2217305   5.2359878    1.4175424425e-08   -2.5874172696e-08
   1.2217305   5.7595865    9.6714599399e-08   -3.9743132965e-08
   1.3962634   0.0000000    3.2949671291e-07   -5.2786089549e-12
   1.3962634   0.5235988    1.0908763214e-06    2.2159631381e-07
   1.3962634   1.0471976    3.4862373277e-06    2.4555731548e-06
   1.3962634   1.5707963   -1.5918448485e-06    2.6416011376e-08
   1.3962634   2.0943951    3.5264970410e-06   -2.5038267828e-06
   1.3962634   2.6179939    1.0892038038e-06   -2.2100497150e-07
   1.3962634   3.1415927    3.2949945733e-07    5.2887894816e-12
   1.3962634   3.6651914    9.6377027673e-08    1.9520544697e-08
   1.3962634   4.1887902    1.9909491529e-08    1.3168230254e-08
   1.3962634   4.7123890   -2.2117862611e-09    1.4114175954e-14
   1.3962634   5.2359878    1.9909482939e-08   -1.3167701306e-08
   1.3962634   5.7595865    9.6374666918e-08   -1.9522276810e-08
   1.5707963   0.0000000    3.2949720189e-07    3.1916725797e-16
   1.5707963   0.5235988    1.1291226380e-06   -7.7582707623e-11
   1.5707963   1.0471976    5.1826062174e-06    8.1428155827e-08
   1.5707963   1.5707963   -1.2514512272e-10    2.2867059261e-09
   1.5707963   2.0943951    5.3060837829e-06   -9.3921164940e-08
   1.5707963   2.6179939    1.1262753454e-06    5.1698519621e-11
   1.5707963   3.1415927    3.2949874245e-07   -1.4590519346e-15
   1.5707963   3.6651914    9.6353534478e-08   -1.9498393192e-14
   1.5707963   4.1887902    2.1669704160e-08   -1.0953819298e-14
   1.5707963   4.7123890   -1.5216910847e-12    2.8997776094e-18
   1.5707963   5.2359878    2.1669952819e-08    6.7547263998e-14
   1.5707963   5.7595865    9.6350889293e-08   -1.8181460596e-13
   1.7453293   0.0000000    3.2949671682e-07    5.2608396491e-12
   1.7453293   0.5235988    1.0904149638e-06   -2.2149464334e-07
   1.7453293   1.0471976    3.5168381157e-06   -2.4035036632e-06
   1.7453293   1.5707963   -1.7087536307e-06   -3.1932262943e-08
   1.7453293   2.0943951    3.5504920023e-06    2.4578205937e-06
   1.7453293   2.6179939    1.0887851363e-06    2.2090905407e-07
   1.7453293   3.1415927    3.2949946714e-07   -5.2760154925e-12
   1.7453293   3.6651914    9.6376942111e-08   -1.9520466581e-08
   1.7453293   4.1887902    1.9909374059e-08   -1.3168186397e-08
   1.7453293   4.7123890   -2.2119132926e-09   -1.4496433683e-14
   1.7453293   5.2359878    1.9909275881e-08    1.3167827822e-08
   1.7453293   5.7595865    9.6374621205e-08    1.9522128552e-08
   1.9198622   0.0000000    3.2949915473e-07    9.1885320916e-12
   1.9198622   0.5235988    9.6843603150e-07   -3.9944750548e-07
   1.9198622   1.0471976    1.4121419245e-06   -2.7773427535e-06
   1.9198622   1.5707963   -3.0230136642e-06    1.8352464146e-07
   1.9198622   2.0943951    1.4322913844e-06    2.7286445564e-06
   1.9198622   2.6179939    9.6816469270e-07    3.9933204828e-07
   1.9198622   3.1415927    3.2949988317e-07   -9.2182939121e-12
   1.9198622   3.6651914    9.6715986858e-08   -3.9743116556e-08
   1.9198622   4.1887902    1.4175378017e-08   -2.5873469056e-08
   1.9198622   4.7123890   -8.3743764502e-09   -3.3970486114e-14
   1.9198622   5.2359878    1.4175443425e-08    2.5874064361e-08
   1.9198622   5.7595865    9.6715048511e-08    3.9742435862e-08
   2.0943951   0.0000000    3.2950461793e-07    9.7051493635e-12
   2.0943951   0.5235988    7.9488375889e-07   -5.0020512037e-07
   2.0943951   1.0471976    3.8825671256e-07   -2.7792458480e-06
   2.0943951   1.5707963   -5.2966753102e-06   -9.3522855559e-08
   2.0943951   2.0943951    3.9186295728e-07    2.8054940455e-06
   2.0943951   2.6179939    7.9515232106e-07    5.0046644600e-07
   2.0943951   3.1415927    3.2950534259e-07   -9.6335454708e-12
   2.0943951   3.6651914    9.8189845452e-08   -6.1824318860e-08
   2.0943951   4.1887902    5.1379427628e-09   -3.5573578706e-08
   2.0943951   4.7123890   -2.1668154218e-08   -7.9562049134e-14
   2.0943951   5.2359878    5.1375541940e-09    3.5573215407e-08
   2.0943951   5.7595865    9.8189400282e-08    6.1823158320e-08
   2.2689280   0.0000000    3.2950969850e-07    5.9249036062e-12
   2.2689280   0.5235988    6.2351325384e-07   -5.3641998751e-07
   2.2689280   1.0471976   -1.9247345354e-07   -1.9670104077e-06
   2.2689280   1.5707963   -3.4314727312e-06   -7.9221111726e-09
   2.2689280   2.0943951   -1.9368208550e-07    1.9551702159e-06
   2.2689280   2.6179939    6.2346993481e-07    5.3640744024e-07
   2.2689280   3.1415927    3.2950913441e-07   -5.8120396822e-12
   2.2689280   3.6651914    1.0103863268e-07   -8.6956387704e-08
   2.2689280   4.1887902   -5.9627381358e-09   -5.5764274570e-08
   2.2689280   4.7123890   -3.4167288982e-08   -1.5779670830e-13
   2.2689280   5.2359878   -5.9624668415e-09    5.5764179715e-08
   2.2689280   5.7595865    1.0103952451e-07    8.6957783004e-08
   2.4434610   0.0000000    3.2951119850e-07   -3.9375651225e-12
   2.4434610   0.5235988    4.7296282244e-07   -5.1982708350e-07
   2.4434610   1.0471976   -3.6720760718e-07   -1.2587846003e-06
   2.4434610   1.5707963   -1.8661162861e-06    3.0778899802e-11
   2.4434610   2.0943951   -3.6722098191e-07    1.2599199702e-06
   2.4434610   2.6179939    4.7294156443e-07    5.1981684638e-07
   2.4434610   3.1415927    3.2951094458e-07    4.1226604270e-12
   2.4434610   3.6651914    1.0498811291e-07   -1.1543304495e-07
   2.4434610   4.1887902   -2.3079712217e-08   -8.0412982982e-08
   2.4434610   4.7123890   -6.2350984919e-08   -4.8801385648e-13
   2.4434610   5.2359878   -2.3079967992e-08    8.0412098948e-08
   2.4434610   5.7595865    1.0498810168e-07    1.1543376778e-07
   2.6179939   0.0000000    3.2950299856e-07   -2.9819042827e-11
   2.6179939   0.5235988    3.5365957134e-07   -4.7137221909e-07
   2.6179939   1.0471976   -3.6232679965e-07   -8.7043505095e-07
   2.6179939   1.5707963   -1.1261668708e-06    7.4990807754e-11
   2.6179939   2.0943951   -3.6220625028e-07    8.7057790604e-07
   2.6179939   2.6179939    3.5365637046e-07    4.7135277550e-07
   2.6179939   3.1415927    3.2950283527e-07    2.9936590801e-11
   2.6179939   3.6651914    1.1119017663e-07   -1.4817684954e-07
   2.6179939   4.1887902   -4.4631980690e-08   -1.0711612980e-07
   2.6179939   4.7123890   -9.6320268339e-08   -1.9377231455e-12
   2.6179939   5.2359878   -4.4643376566e-08    1.0710871949e-07
   2.6179939   5.7595865    1.1119276300e-07    1.4818368874e-07
   2.7925268   0.0000000    3.2941918238e-07   -1.3818493027e-10
   2.7925268   0.5235988    2.6634652458e-07   -4.0911086118e-07
   2.7925268   1.0471976   -2.9817196000e-07   -5.8898929413e-07
   2.7925268   1.5707963   -7.3855321333e-07    8.2128579471e-11
   2.7925268   2.0943951   -2.9842181515e-07    5.8868705167e-07
   2.7925268   2.6179939    2.6630153231e-07    4.0907772144e-07
   2.7925268   3.1415927    3.2942091359e-07    1.3668027870e-10
   2.7925268   3.6651914    1.2163785160e-07   -1.8688761316e-07
   2.7925268   4.1887902   -7.5082158869e-08   -1.4792504617e-07
   2.7925268   4.7123890   -1.4814468129e-07   -1.5150734259e-11
   2.7925268   5.2359878   -7.5022128410e-08    1.4799381595e-07
   2.7925268   5.7595865    1.2165838796e-07    1.8690214083e-07
   2.9670597   0.0000000    3.2798445012e-07   -1.4523203186e-09
   2.9670597   0.5235988    2.0813382492e-07   -3.4651794774e-07
   2.9670597   1.0471976   -2.3115335999e-07   -4.0346027142e-07
   2.9670597   1.5707963   -4.8943014637e-07    6.3237002224e-10
   2.9670597   2.0943951   -2.3166239328e-07    4.0516606018e-07
   2.9670597   2.6179939    2.0851261821e-07    3.4589386073e-07
   2.9670597   3.1415927    3.2825760546e-07    1.1293577652e-09
   2.9670597   3.6651914    1.4181804430e-07   -2.3191717932e-07
   2.9670597   4.1887902   -1.1713667451e-07   -2.0499614341e-07
   2.9670597   4.7123890   -2.2066794622e-07   -3.7564475852e-10
   2.9670597   5.2359878   -1.1685200300e-07    2.0388254463e-07
   2.9670597   5.7595865    1.4166162278e-07    2.3216899893e-07
