#       time         integral Re         integral Im
#       r =            80.000000           80.000000
  16.4062500    6.1967861754e-05   -2.9693023891e-07
  16.4062500    6.1967861754e-05   -2.9693023891e-07
  16.4062500    6.1967861754e-05   -2.9693023891e-07
  16.4062500    6.1967861754e-05   -2.9693023891e-07
  16.4062500    6.1967861754e-05   -2.9693023891e-07
  16.4062500    6.1967861754e-05   -2.9693023891e-07
  17.5781250    6.4610370543e-05   -2.4817866815e-07
  17.5781250    6.4610370543e-05   -2.4817866815e-07
  17.5781250    6.4610370543e-05   -2.4817866815e-07
  17.5781250    6.4610370543e-05   -2.4817866815e-07
  17.5781250    6.4610370543e-05   -2.4817866815e-07
  17.5781250    6.4610370543e-05   -2.4817866815e-07
  17.5781250    6.4610370543e-05   -2.4817866815e-07
  17.5781250    6.4610370543e-05   -2.4817866815e-07
  18.7500000    5.7423079058e-05   -1.3658934183e-07
  18.7500000    5.7423079058e-05   -1.3658934183e-07
  18.7500000    5.7423079058e-05   -1.3658934183e-07
  18.7500000    5.7423079058e-05   -1.3658934183e-07
  18.7500000    5.7423079058e-05   -1.3658934183e-07
  18.7500000    5.7423079058e-05   -1.3658934183e-07
  18.7500000    5.7423079058e-05   -1.3658934183e-07
  18.7500000    5.7423079058e-05   -1.3658934183e-07
  19.9218750    4.3247500924e-05   -1.6460518636e-08
  19.9218750    4.3247500924e-05   -1.6460518636e-08
  19.9218750    4.3247500924e-05   -1.6460518636e-08
  19.9218750    4.3247500924e-05   -1.6460518636e-08
  19.9218750    4.3247500924e-05   -1.6460518636e-08
  19.9218750    4.3247500924e-05   -1.6460518636e-08
  19.9218750    4.3247500924e-05   -1.6460518636e-08
  19.9218750    4.3247500924e-05   -1.6460518636e-08
  21.0937500    2.9438952825e-05    7.8015607440e-08
  21.0937500    2.9438952825e-05    7.8015607440e-08
  21.0937500    2.9438952825e-05    7.8015607440e-08
  21.0937500    2.9438952825e-05    7.8015607440e-08
  21.0937500    2.9438952825e-05    7.8015607440e-08
  21.0937500    2.9438952825e-05    7.8015607440e-08
  21.0937500    2.9438952825e-05    7.8015607440e-08
  21.0937500    2.9438952825e-05    7.8015607440e-08
  22.2656250    2.3235215089e-05    1.4361877933e-07
  22.2656250    2.3235215089e-05    1.4361877933e-07
  22.2656250    2.3235215089e-05    1.4361877933e-07
  22.2656250    2.3235215089e-05    1.4361877933e-07
  22.2656250    2.3235215089e-05    1.4361877933e-07
  22.2656250    2.3235215089e-05    1.4361877933e-07
  22.2656250    2.3235215089e-05    1.4361877933e-07
  22.2656250    2.3235215089e-05    1.4361877933e-07
  23.4375000    2.7428519178e-05    1.9227441497e-07
  23.4375000    2.7428519178e-05    1.9227441497e-07
  23.4375000    2.7428519178e-05    1.9227441497e-07
  23.4375000    2.7428519178e-05    1.9227441497e-07
  23.4375000    2.7428519178e-05    1.9227441497e-07
  23.4375000    2.7428519178e-05    1.9227441497e-07
  23.4375000    2.7428519178e-05    1.9227441497e-07
  23.4375000    2.7428519178e-05    1.9227441497e-07
  24.6093750    3.9210116744e-05    2.2927303900e-07
  24.6093750    3.9210116744e-05    2.2927303900e-07
  24.6093750    3.9210116744e-05    2.2927303900e-07
  24.6093750    3.9210116744e-05    2.2927303900e-07
  24.6093750    3.9210116744e-05    2.2927303900e-07
  24.6093750    3.9210116744e-05    2.2927303900e-07
  24.6093750    3.9210116744e-05    2.2927303900e-07
  24.6093750    3.9210116744e-05    2.2927303900e-07
  25.7812500    5.2494494152e-05    2.4442995821e-07
  25.7812500    5.2494494152e-05    2.4442995821e-07
  25.7812500    5.2494494152e-05    2.4442995821e-07
  25.7812500    5.2494494152e-05    2.4442995821e-07
  25.7812500    5.2494494152e-05    2.4442995821e-07
  25.7812500    5.2494494152e-05    2.4442995821e-07
  25.7812500    5.2494494152e-05    2.4442995821e-07
  25.7812500    5.2494494152e-05    2.4442995821e-07
  26.9531250    6.1712456133e-05    2.2076905307e-07
  26.9531250    6.1712456133e-05    2.2076905307e-07
  26.9531250    6.1712456133e-05    2.2076905307e-07
  26.9531250    6.1712456133e-05    2.2076905307e-07
  26.9531250    6.1712456133e-05    2.2076905307e-07
  26.9531250    6.1712456133e-05    2.2076905307e-07
  26.9531250    6.1712456133e-05    2.2076905307e-07
  26.9531250    6.1712456133e-05    2.2076905307e-07
  28.1250000    6.4540493038e-05    1.5088806015e-07
  28.1250000    6.4540493038e-05    1.5088806015e-07
  28.1250000    6.4540493038e-05    1.5088806015e-07
  28.1250000    6.4540493038e-05    1.5088806015e-07
  28.1250000    6.4540493038e-05    1.5088806015e-07
  28.1250000    6.4540493038e-05    1.5088806015e-07
  28.1250000    6.4540493038e-05    1.5088806015e-07
  28.1250000    6.4540493038e-05    1.5088806015e-07
  29.2968750    6.2233280295e-05    4.7379658837e-08
  29.2968750    6.2233280295e-05    4.7379658837e-08
  29.2968750    6.2233280295e-05    4.7379658837e-08
  29.2968750    6.2233280295e-05    4.7379658837e-08
  29.2968750    6.2233280295e-05    4.7379658837e-08
  29.2968750    6.2233280295e-05    4.7379658837e-08
  29.2968750    6.2233280295e-05    4.7379658837e-08
  29.2968750    6.2233280295e-05    4.7379658837e-08
  30.4687500    5.7998080774e-05   -6.0149283265e-08
  30.4687500    5.7998080774e-05   -6.0149283265e-08
  30.4687500    5.7998080774e-05   -6.0149283265e-08
  30.4687500    5.7998080774e-05   -6.0149283265e-08
  30.4687500    5.7998080774e-05   -6.0149283265e-08
  30.4687500    5.7998080774e-05   -6.0149283265e-08
  30.4687500    5.7998080774e-05   -6.0149283265e-08
  30.4687500    5.7998080774e-05   -6.0149283265e-08
  31.6406250    5.4886923668e-05   -1.3918698188e-07
  31.6406250    5.4886923668e-05   -1.3918698188e-07
  31.6406250    5.4886923668e-05   -1.3918698188e-07
  31.6406250    5.4886923668e-05   -1.3918698188e-07
  31.6406250    5.4886923668e-05   -1.3918698188e-07
  31.6406250    5.4886923668e-05   -1.3918698188e-07
  31.6406250    5.4886923668e-05   -1.3918698188e-07
  31.6406250    5.4886923668e-05   -1.3918698188e-07
  32.8125000    5.4509284769e-05   -1.7044678886e-07
  32.8125000    5.4509284769e-05   -1.7044678886e-07
  32.8125000    5.4509284769e-05   -1.7044678886e-07
  32.8125000    5.4509284769e-05   -1.7044678886e-07
  32.8125000    5.4509284769e-05   -1.7044678886e-07
  32.8125000    5.4509284769e-05   -1.7044678886e-07
  32.8125000    5.4509284769e-05   -1.7044678886e-07
  32.8125000    5.4509284769e-05   -1.7044678886e-07
  33.9843750    5.6929944603e-05   -1.5660169191e-07
  33.9843750    5.6929944603e-05   -1.5660169191e-07
  33.9843750    5.6929944603e-05   -1.5660169191e-07
  33.9843750    5.6929944603e-05   -1.5660169191e-07
  33.9843750    5.6929944603e-05   -1.5660169191e-07
  33.9843750    5.6929944603e-05   -1.5660169191e-07
  33.9843750    5.6929944603e-05   -1.5660169191e-07
  33.9843750    5.6929944603e-05   -1.5660169191e-07
  35.1562500    6.1301206917e-05   -1.1910673255e-07
  35.1562500    6.1301206917e-05   -1.1910673255e-07
  35.1562500    6.1301206917e-05   -1.1910673255e-07
  35.1562500    6.1301206917e-05   -1.1910673255e-07
  35.1562500    6.1301206917e-05   -1.1910673255e-07
  35.1562500    6.1301206917e-05   -1.1910673255e-07
  35.1562500    6.1301206917e-05   -1.1910673255e-07
  35.1562500    6.1301206917e-05   -1.1910673255e-07
  36.3281250    6.6583839792e-05   -8.5176901804e-08
  36.3281250    6.6583839792e-05   -8.5176901804e-08
  36.3281250    6.6583839792e-05   -8.5176901804e-08
  36.3281250    6.6583839792e-05   -8.5176901804e-08
  36.3281250    6.6583839792e-05   -8.5176901804e-08
  36.3281250    6.6583839792e-05   -8.5176901804e-08
  36.3281250    6.6583839792e-05   -8.5176901804e-08
  36.3281250    6.6583839792e-05   -8.5176901804e-08
  37.5000000    7.1979060486e-05   -7.2322905857e-08
  37.5000000    7.1979060486e-05   -7.2322905857e-08
  37.5000000    7.1979060486e-05   -7.2322905857e-08
  37.5000000    7.1979060486e-05   -7.2322905857e-08
  37.5000000    7.1979060486e-05   -7.2322905857e-08
  37.5000000    7.1979060486e-05   -7.2322905857e-08
  37.5000000    7.1979060486e-05   -7.2322905857e-08
  37.5000000    7.1979060486e-05   -7.2322905857e-08
  38.6718750    7.7024302905e-05   -7.9400903996e-08
  38.6718750    7.7024302905e-05   -7.9400903996e-08
  38.6718750    7.7024302905e-05   -7.9400903996e-08
  38.6718750    7.7024302905e-05   -7.9400903996e-08
  38.6718750    7.7024302905e-05   -7.9400903996e-08
  38.6718750    7.7024302905e-05   -7.9400903996e-08
  38.6718750    7.7024302905e-05   -7.9400903996e-08
  38.6718750    7.7024302905e-05   -7.9400903996e-08
  39.8437500    8.1478786273e-05   -8.9504014429e-08
  39.8437500    8.1478786273e-05   -8.9504014429e-08
  39.8437500    8.1478786273e-05   -8.9504014429e-08
  39.8437500    8.1478786273e-05   -8.9504014429e-08
