#       time                 x_1                 y_1                 z_1                 x_2                 y_2                 z_2
  28.1250000    2.5599527010e+02    2.7588752444e+02    2.5599527987e+02    2.5599343920e+02    2.3611078791e+02    2.5599345246e+02
  28.1250000    2.5599527010e+02    2.7588752444e+02    2.5599527987e+02    2.5599343920e+02    2.3611078791e+02    2.5599345246e+02
  28.1250000    2.5599527010e+02    2.7588752444e+02    2.5599527987e+02    2.5599343920e+02    2.3611078791e+02    2.5599345246e+02
  28.1250000    2.5599527010e+02    2.7588752444e+02    2.5599527987e+02    2.5599343920e+02    2.3611078791e+02    2.5599345246e+02
  28.1250000    2.5599527010e+02    2.7588752444e+02    2.5599527987e+02    2.5599343920e+02    2.3611078791e+02    2.5599345246e+02
  28.1250000    2.5599527010e+02    2.7588752444e+02    2.5599527987e+02    2.5599343920e+02    2.3611078791e+02    2.5599345246e+02
  28.1250000    2.5599527010e+02    2.7588752444e+02    2.5599527987e+02    2.5599343920e+02    2.3611078791e+02    2.5599345246e+02
  28.1250000    2.5599527010e+02    2.7588752444e+02    2.5599527987e+02    2.5599343920e+02    2.3611078791e+02    2.5599345246e+02
  32.8125000    2.5599518004e+02    2.7587539444e+02    2.5599518998e+02    2.5599338013e+02    2.3612325086e+02    2.5599339368e+02
  32.8125000    2.5599518004e+02    2.7587539444e+02    2.5599518998e+02    2.5599338013e+02    2.3612325086e+02    2.5599339368e+02
  32.8125000    2.5599518004e+02    2.7587539444e+02    2.5599518998e+02    2.5599338013e+02    2.3612325086e+02    2.5599339368e+02
  32.8125000    2.5599518004e+02    2.7587539444e+02    2.5599518998e+02    2.5599338013e+02    2.3612325086e+02    2.5599339368e+02
  32.8125000    2.5599518004e+02    2.7587539444e+02    2.5599518998e+02    2.5599338013e+02    2.3612325086e+02    2.5599339368e+02
  32.8125000    2.5599518004e+02    2.7587539444e+02    2.5599518998e+02    2.5599338013e+02    2.3612325086e+02    2.5599339368e+02
  32.8125000    2.5599518004e+02    2.7587539444e+02    2.5599518998e+02    2.5599338013e+02    2.3612325086e+02    2.5599339368e+02
  32.8125000    2.5599518004e+02    2.7587539444e+02    2.5599518998e+02    2.5599338013e+02    2.3612325086e+02    2.5599339368e+02
  37.5000000    2.5599517879e+02    2.7586404639e+02    2.5599518892e+02    2.5599337587e+02    2.3613534582e+02    2.5599338969e+02
  37.5000000    2.5599517879e+02    2.7586404639e+02    2.5599518892e+02    2.5599337587e+02    2.3613534582e+02    2.5599338969e+02
  37.5000000    2.5599517879e+02    2.7586404639e+02    2.5599518892e+02    2.5599337587e+02    2.3613534582e+02    2.5599338969e+02
  37.5000000    2.5599517879e+02    2.7586404639e+02    2.5599518892e+02    2.5599337587e+02    2.3613534582e+02    2.5599338969e+02
  37.5000000    2.5599517879e+02    2.7586404639e+02    2.5599518892e+02    2.5599337587e+02    2.3613534582e+02    2.5599338969e+02
  37.5000000    2.5599517879e+02    2.7586404639e+02    2.5599518892e+02    2.5599337587e+02    2.3613534582e+02    2.5599338969e+02
  37.5000000    2.5599517879e+02    2.7586404639e+02    2.5599518892e+02    2.5599337587e+02    2.3613534582e+02    2.5599338969e+02
  37.5000000    2.5599517879e+02    2.7586404639e+02    2.5599518892e+02    2.5599337587e+02    2.3613534582e+02    2.5599338969e+02
  42.1875000    2.5599523951e+02    2.7585330140e+02    2.5599524980e+02    2.5599339586e+02    2.3614700999e+02    2.5599340991e+02
  42.1875000    2.5599523951e+02    2.7585330140e+02    2.5599524980e+02    2.5599339586e+02    2.3614700999e+02    2.5599340991e+02
  42.1875000    2.5599523951e+02    2.7585330140e+02    2.5599524980e+02    2.5599339586e+02    2.3614700999e+02    2.5599340991e+02
  42.1875000    2.5599523951e+02    2.7585330140e+02    2.5599524980e+02    2.5599339586e+02    2.3614700999e+02    2.5599340991e+02
  42.1875000    2.5599523951e+02    2.7585330140e+02    2.5599524980e+02    2.5599339586e+02    2.3614700999e+02    2.5599340991e+02
  42.1875000    2.5599523951e+02    2.7585330140e+02    2.5599524980e+02    2.5599339586e+02    2.3614700999e+02    2.5599340991e+02
  42.1875000    2.5599523951e+02    2.7585330140e+02    2.5599524980e+02    2.5599339586e+02    2.3614700999e+02    2.5599340991e+02
  42.1875000    2.5599523951e+02    2.7585330140e+02    2.5599524980e+02    2.5599339586e+02    2.3614700999e+02    2.5599340991e+02
